CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 8
CASTNO = 13
DATE = 20181005
TIME = 2354
LATITUDE = 47.0004
LONGITUDE = -152.0000
INSTRUMENT_ID = 1281
DEPTH = 5237
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,6,15.159,6,32.2622,6,256.542,6,1.4249,6,4.3805,6,0.1348,6
2.0,6,15.159,6,32.2622,6,256.542,6,1.4249,6,4.3805,6,0.1348,6
4.0,2,15.1596,2,32.2626,2,256.4684,2,1.4246,1,4.3791,1,0.137,1
6.0,2,15.1605,2,32.2626,2,256.4618,2,1.4222,1,4.3805,1,0.1459,1
8.0,2,15.1608,2,32.2625,2,256.4336,2,1.4221,1,4.3805,1,0.1469,1
10.0,2,15.1615,2,32.2628,2,256.3592,2,1.4212,1,4.3803,1,0.1375,1
12.0,2,15.1611,2,32.2627,2,256.1855,2,1.4213,1,4.3798,1,0.1329,1
14.0,2,15.1608,2,32.2626,2,256.2833,2,1.4211,1,4.3803,1,0.1397,1
16.0,2,15.1616,2,32.2626,2,256.7268,2,1.4208,1,4.3809,1,0.1454,1
18.0,2,15.1532,2,32.2634,2,256.9235,2,1.4202,1,4.3822,1,0.142,1
20.0,2,15.1558,2,32.2631,2,256.3647,2,1.4203,1,4.3821,1,0.1345,1
22.0,2,15.1553,2,32.2632,2,256.3598,2,1.4195,1,4.3814,1,0.1359,1
24.0,2,15.1544,2,32.2632,2,257.0315,2,1.419,1,4.383,1,0.1399,1
26.0,2,15.1557,2,32.2631,2,256.6526,2,1.4186,1,4.382,1,0.1381,1
28.0,2,15.1562,2,32.2631,2,256.9706,2,1.4179,1,4.3833,1,0.1405,1
30.0,2,15.1198,2,32.2663,2,257.2797,2,1.4175,1,4.3874,1,0.1408,1
32.0,2,15.1066,2,32.268,2,257.0383,2,1.4172,1,4.4008,1,0.1438,1
34.0,2,15.0735,2,32.2708,2,256.9168,2,1.4167,1,4.4115,1,0.1444,1
36.0,2,14.7225,2,32.2864,2,259.6355,2,1.4163,1,4.4368,1,0.1269,1
38.0,2,13.2779,2,32.3871,2,273.8093,2,1.4159,1,4.4637,1,0.1247,1
40.0,2,11.1712,2,32.4934,2,284.262,2,1.4162,1,4.4793,1,0.1256,1
42.0,2,9.5035,2,32.595,2,288.8231,2,1.4164,1,4.5032,1,0.121,1
44.0,2,8.9364,2,32.6274,2,291.8533,2,1.4179,1,4.5554,1,0.0949,1
46.0,2,8.5786,2,32.6119,2,292.7246,2,1.4217,1,4.5881,1,0.0789,1
48.0,2,8.4536,2,32.6095,2,291.7611,2,1.4262,1,4.6061,1,0.0672,1
50.0,2,8.2156,2,32.6101,2,290.3971,2,1.4334,1,4.6176,1,0.0577,1
52.0,2,8.1478,2,32.6089,2,288.8527,2,1.4423,1,4.6291,1,0.0505,1
54.0,2,8.0425,2,32.6077,2,288.532,2,1.4538,1,4.6326,1,0.048,1
56.0,2,7.9634,2,32.6197,2,288.1176,2,1.4582,1,4.634,1,0.0456,1
58.0,2,7.9078,2,32.6228,2,286.7999,2,1.4663,1,4.6412,1,0.0416,1
60.0,2,7.7732,2,32.6301,2,286.0284,2,1.4774,1,4.6457,1,0.0391,1
62.0,2,7.6338,2,32.6486,2,284.9921,2,1.4805,1,4.6516,1,0.036,1
64.0,2,7.6022,2,32.6463,2,284.1112,2,1.5038,1,4.6611,1,0.0302,1
66.0,2,7.3699,2,32.662,2,283.2736,2,1.5173,1,4.6632,1,0.0276,1
68.0,2,7.1009,2,32.6804,2,280.5025,2,1.5195,1,4.6625,1,0.0269,1
70.0,2,7.0699,2,32.6805,2,280.7558,2,1.5278,1,4.6623,1,0.0271,1
72.0,2,7.0253,2,32.6676,2,281.5562,2,1.5412,1,4.6623,1,0.0267,1
74.0,2,6.8122,2,32.6852,2,280.7223,2,1.5459,1,4.6648,1,0.0255,1
76.0,2,6.7101,2,32.6853,2,280.0696,2,1.5522,1,4.666,1,0.0234,1
78.0,2,6.812,2,32.6829,2,282.2421,2,1.5592,1,4.667,1,0.0232,1
80.0,2,6.633,2,32.6876,2,282.7322,2,1.5635,1,4.6683,1,0.0231,1
82.0,2,6.6122,2,32.687,2,282.3263,2,1.5641,1,4.6694,1,0.022,1
84.0,2,6.6457,2,32.6717,2,283.3852,2,1.5639,1,4.669,1,0.022,1
86.0,2,6.5354,2,32.6813,2,283.5032,2,1.5614,1,4.669,1,0.022,1
88.0,2,6.3345,2,32.677,2,283.7749,2,1.5588,1,4.6699,1,0.0206,1
90.0,2,6.306,2,32.6708,2,284.8546,2,1.5555,1,4.6677,1,0.0203,1
92.0,2,6.2106,2,32.6707,2,284.9693,2,1.5558,1,4.6702,1,0.0196,1
94.0,2,6.1357,2,32.6712,2,285.1989,2,1.5559,1,4.6714,1,0.0195,1
96.0,2,6.1116,2,32.674,2,285.8976,2,1.5557,1,4.6718,1,0.0195,1
98.0,2,6.0487,2,32.6783,2,286.0801,2,1.556,1,4.6717,1,0.0195,1
100.0,2,6.0572,2,32.6779,2,286.3996,2,1.5552,1,4.6716,1,0.0186,1
102.0,2,6.0293,2,32.6827,2,286.1889,2,1.5545,1,4.6733,1,0.0185,1
104.0,2,5.9543,2,32.7014,2,285.7689,2,1.5541,1,4.6712,1,0.0195,1
106.0,2,5.9282,2,32.7129,2,284.9149,2,1.5539,1,4.6692,1,0.0184,1
108.0,2,5.9453,2,32.725,2,284.5418,2,1.5544,1,4.6733,1,0.0182,1
110.0,2,5.9918,2,32.7849,2,283.6692,2,1.5557,1,4.6732,1,0.0182,1
112.0,2,6.0558,2,32.8366,2,280.4766,2,1.5563,1,4.6741,1,0.0181,1
114.0,2,6.232,2,32.9185,2,279.0188,2,1.5564,1,4.6752,1,0.0182,1
116.0,2,6.2848,2,32.9616,2,275.0931,2,1.5572,1,4.6748,1,0.0171,1
118.0,2,6.2152,2,32.9678,2,272.4485,2,1.5571,1,4.6756,1,0.018,1
120.0,2,6.141,2,33.0273,2,271.6193,2,1.557,1,4.6769,1,0.0181,1
122.0,2,6.112,2,33.0836,2,269.0662,2,1.5572,1,4.6776,1,0.0172,1
124.0,2,5.9679,2,33.1078,2,266.0531,2,1.5576,1,4.678,1,0.0173,1
126.0,2,5.9043,2,33.1164,2,262.4256,2,1.5576,1,4.6763,1,0.018,1
128.0,2,5.842,2,33.144,2,260.9231,2,1.5575,1,4.6768,1,0.017,1
130.0,2,5.7695,2,33.1821,2,258.6394,2,1.5573,1,4.6769,1,0.0171,1
132.0,2,5.718,2,33.1994,2,256.0599,2,1.557,1,4.6771,1,0.0171,1
134.0,2,5.6109,2,33.2151,2,254.8972,2,1.5567,1,4.6771,1,0.0181,1
136.0,2,5.4989,2,33.2283,2,253.7428,2,1.5566,1,4.6771,1,0.0181,1
138.0,2,5.4149,2,33.2442,2,252.7767,2,1.5568,1,4.677,1,0.0177,1
140.0,2,5.3634,2,33.2565,2,251.6864,2,1.5571,1,4.6764,1,0.0174,1
142.0,2,5.3664,2,33.2549,2,249.3428,2,1.5569,1,4.6753,1,0.0178,1
144.0,2,5.2747,2,33.2778,2,248.8807,2,1.5584,1,4.6755,1,0.0171,1
