CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 33
CASTNO = 11
DATE = 20181114
TIME = 0401
LATITUDE = -4.9997
LONGITUDE = -152.0026
INSTRUMENT_ID = 1281
DEPTH = 5423
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,27.8846,2,35.5238,2,199.9837,2,1.2869,1,4.5919,1,0.0407,1
2.0,2,27.8847,2,35.5236,2,200.8094,2,1.2868,1,4.5918,1,0.0407,1
4.0,2,27.8858,2,35.5236,2,200.3607,2,1.2863,1,4.5916,1,0.0405,1
6.0,2,27.8876,2,35.5234,2,200.0622,2,1.2861,1,4.5904,1,0.0399,1
8.0,2,27.8891,2,35.5233,2,200.4858,2,1.2862,1,4.5886,1,0.04,1
10.0,2,27.8913,2,35.5234,2,200.5552,2,1.2866,1,4.5916,1,0.0401,1
12.0,2,27.8921,2,35.5233,2,199.9258,2,1.2856,1,4.5928,1,0.0393,1
14.0,2,27.8919,2,35.5233,2,200.4269,2,1.285,1,4.5924,1,0.0405,1
16.0,2,27.8939,2,35.5236,2,200.2736,2,1.2843,1,4.5917,1,0.0396,1
18.0,2,27.8939,2,35.5238,2,200.0042,2,1.283,1,4.5924,1,0.0405,1
20.0,2,27.8953,2,35.5237,2,200.4657,2,1.2814,1,4.5916,1,0.0399,1
22.0,2,27.8949,2,35.5237,2,200.6377,2,1.2811,1,4.5929,1,0.0397,1
24.0,2,27.893,2,35.5238,2,200.1442,2,1.2795,1,4.5922,1,0.0397,1
26.0,2,27.896,2,35.5237,2,201.1207,2,1.2768,1,4.5917,1,0.0395,1
28.0,2,27.8943,2,35.5235,2,200.7431,2,1.2751,1,4.5922,1,0.0406,1
30.0,2,27.8913,2,35.5226,2,200.9927,2,1.2742,1,4.5912,1,0.0407,1
