CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 25
CASTNO = 6
DATE = 20181104
TIME = 1134
LATITUDE = 4.9995
LONGITUDE = -151.9949
INSTRUMENT_ID = 1281
DEPTH = 5114
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,6,29.3686,6,33.8726,6,196.2815,6,4.6729,6,0.0025,6,-999,9
2.0,2,29.3672,2,33.8728,2,195.9231,2,4.6732,1,0.0024,1,-999,9
4.0,2,29.3748,2,33.8763,2,195.7398,2,4.6726,1,0.0025,1,-999,9
6.0,2,29.3782,2,33.8814,2,196.0383,2,4.6727,1,0.0025,1,-999,9
8.0,2,29.377,2,33.8741,2,195.7801,2,4.6727,1,0.0026,1,-999,9
10.0,2,29.3794,2,33.8748,2,195.851,2,4.6726,1,0.0028,1,-999,9
12.0,2,29.3819,2,33.876,2,196.4168,2,4.6729,1,0.0027,1,-999,9
14.0,2,29.3814,2,33.8767,2,196.2947,2,4.6726,1,0.0025,1,-999,9
16.0,2,29.3817,2,33.8767,2,196.7037,2,4.6718,1,0.0026,1,-999,9
18.0,2,29.3928,2,33.8812,2,195.9784,2,4.6726,1,0.0032,1,-999,9
20.0,2,29.4127,2,33.8912,2,196.2414,2,4.6724,1,0.0025,1,-999,9
22.0,2,29.423,2,33.9021,2,196.1704,2,4.6726,1,0.0028,1,-999,9
24.0,2,29.4327,2,33.9087,2,196.103,2,4.6713,1,0.0029,1,-999,9
26.0,2,29.4408,2,33.9132,2,196.3412,2,4.6711,1,0.003,1,-999,9
28.0,2,29.4649,2,33.9345,2,196.6099,2,4.6707,1,0.0031,1,-999,9
30.0,2,29.4812,2,33.9509,2,196.3657,2,4.6712,1,0.0038,1,-999,9
32.0,2,29.4931,2,33.9676,2,196.5069,2,4.6697,1,0.0035,1,-999,9
34.0,2,29.5082,2,33.997,2,196.4606,2,4.6692,1,0.0037,1,-999,9
36.0,2,29.4999,2,34.0996,2,196.6369,2,4.6673,1,0.0037,1,-999,9
38.0,2,29.416,2,34.3223,2,197.492,2,4.6605,1,0.0044,1,-999,9
40.0,2,29.245,2,34.4926,2,197.4344,2,4.6515,1,0.0056,1,-999,9
42.0,2,29.1378,2,34.5501,2,197.3511,2,4.6525,1,0.0057,1,-999,9
44.0,2,29.1055,2,34.5488,2,197.5983,2,4.6558,1,0.0058,1,-999,9
46.0,2,29.0648,2,34.5501,2,197.7253,2,4.6552,1,0.006,1,-999,9
48.0,2,29.0122,2,34.5524,2,197.6739,2,4.6537,1,0.0062,1,-999,9
50.0,2,28.9265,2,34.5738,2,198.1154,2,4.6513,1,0.0067,1,-999,9
52.0,2,28.8506,2,34.5962,2,198.3338,2,4.6476,1,0.0076,1,-999,9
54.0,2,28.7797,2,34.63,2,198.6157,2,4.6432,1,0.0085,1,-999,9
56.0,2,28.7598,2,34.6474,2,199.0772,2,4.6396,1,0.0089,1,-999,9
58.0,2,28.7463,2,34.6654,2,199.4451,2,4.6393,1,0.0091,1,-999,9
60.0,2,28.7001,2,34.6972,2,199.5695,2,4.635,1,0.0105,1,-999,9
62.0,2,28.6583,2,34.7384,2,199.2331,2,4.6297,1,0.0122,1,-999,9
64.0,2,28.6483,2,34.7474,2,199.0126,2,4.6287,1,0.0131,1,-999,9
66.0,2,28.6477,2,34.749,2,199.219,2,4.6283,1,0.0129,1,-999,9
68.0,2,28.648,2,34.7492,2,199.2431,2,4.6279,1,0.0138,1,-999,9
70.0,2,28.647,2,34.751,2,199.247,2,4.6259,1,0.0135,1,-999,9
72.0,2,28.6468,2,34.7523,2,199.0696,2,4.6278,1,0.014,1,-999,9
74.0,2,28.6442,2,34.7572,2,199.3742,2,4.6287,1,0.0151,1,-999,9
76.0,2,28.6444,2,34.7575,2,199.1765,2,4.6296,1,0.0137,1,-999,9
78.0,2,28.6445,2,34.7583,2,199.0073,2,4.6296,1,0.013,1,-999,9
80.0,2,28.6443,2,34.759,2,199.5549,2,4.6302,1,0.0129,1,-999,9
82.0,2,28.6427,2,34.7609,2,199.5704,2,4.6309,1,0.0133,1,-999,9
84.0,2,28.6424,2,34.7622,2,199.5977,2,4.6313,1,0.014,1,-999,9
86.0,2,28.6415,2,34.7638,2,199.5638,2,4.6315,1,0.0144,1,-999,9
88.0,2,28.6393,2,34.7663,2,199.1768,2,4.6326,1,0.0139,1,-999,9
90.0,2,28.633,2,34.7726,2,199.4088,2,4.634,1,0.0136,1,-999,9
92.0,2,28.6192,2,34.7824,2,199.1923,2,4.6343,1,0.0139,1,-999,9
94.0,2,28.5724,2,34.8125,2,198.8238,2,4.6367,1,0.0133,1,-999,9
96.0,2,28.533,2,34.8462,2,198.9307,2,4.6413,1,0.0126,1,-999,9
98.0,2,28.5308,2,34.8678,2,198.5547,2,4.6452,1,0.0118,1,-999,9
100.0,2,28.5219,2,34.8975,2,198.6535,2,4.6481,1,0.0135,1,-999,9
102.0,2,28.3522,2,34.912,2,197.9263,2,4.652,1,0.0113,1,-999,9
104.0,2,28.2772,2,35.0011,2,194.409,2,4.6553,1,0.0124,1,-999,9
106.0,2,27.8435,2,34.8908,2,188.5168,2,4.6567,1,0.0122,1,-999,9
108.0,2,27.4183,2,34.7805,2,178.7622,2,4.6587,1,0.0116,1,-999,9
110.0,2,27.2082,2,34.7663,2,173.1561,2,4.6595,1,0.0108,1,-999,9
112.0,2,27.1151,2,34.7645,2,169.4525,2,4.6624,1,0.0106,1,-999,9
114.0,2,26.9986,2,34.7543,2,166.9496,2,4.6637,1,0.0107,1,-999,9
116.0,2,26.7544,2,34.7277,2,167.0932,2,4.6654,1,0.0108,1,-999,9
118.0,2,26.6561,2,34.7161,2,168.2224,2,4.6665,1,0.0098,1,-999,9
120.0,2,26.3183,2,34.6843,2,167.6112,2,4.6673,1,0.0084,1,-999,9
122.0,2,26.0855,2,34.6776,2,164.2515,2,4.6707,1,0.0086,1,-999,9
124.0,2,26.0433,2,34.676,2,163.4753,2,4.6721,1,0.0079,1,-999,9
126.0,2,25.8993,2,34.7014,2,163.316,2,4.6728,1,0.0073,1,-999,9
128.0,2,25.7849,2,34.7209,2,162.1215,2,4.6748,1,0.0075,1,-999,9
130.0,2,25.6605,2,34.7341,2,160.1166,2,4.6761,1,0.0068,1,-999,9
132.0,2,25.5657,2,34.7386,2,158.7392,2,4.6775,1,0.0059,1,-999,9
134.0,2,24.8947,2,34.7395,2,157.2484,2,4.6779,1,0.0056,1,-999,9
136.0,2,24.3531,2,34.744,2,151.828,2,4.6813,1,0.0056,1,-999,9
138.0,2,24.107,2,34.7443,2,148.3803,2,4.6822,1,0.0052,1,-999,9
140.0,2,23.4907,2,34.7633,2,146.649,2,4.6803,1,0.0049,1,-999,9
142.0,2,22.8887,2,34.7752,2,143.1585,2,4.6836,1,0.0043,1,-999,9
144.0,2,21.8465,2,34.7874,2,141.0816,2,4.6853,1,0.0037,1,-999,9
146.0,2,21.4649,2,34.7875,2,136.7716,2,4.6863,1,0.0037,1,-999,9
148.0,2,20.3132,2,34.7652,2,135.6627,2,4.6847,1,0.0036,1,-999,9
150.0,2,19.2606,2,34.7791,2,131.0576,2,4.686,1,0.0031,1,-999,9
152.0,2,18.9019,2,34.7648,2,122.478,2,4.6891,1,0.0028,1,-999,9
154.0,2,18.6084,2,34.7469,2,118.4928,2,4.6904,1,0.0027,1,-999,9
156.0,2,18.2162,2,34.7304,2,117.0174,2,4.691,1,0.0024,1,-999,9
158.0,2,17.8418,2,34.7138,2,116.3024,2,4.6908,1,0.0025,1,-999,9
160.0,2,17.4411,2,34.7059,2,114.9565,2,4.6909,1,0.0027,1,-999,9
162.0,2,17.1122,2,34.7065,2,112.8295,2,4.6926,1,0.0024,1,-999,9
164.0,2,16.674,2,34.6992,2,108.883,2,4.6941,1,0.0023,1,-999,9
166.0,2,16.1139,2,34.693,2,105.6097,2,4.6955,1,0.0021,1,-999,9
168.0,2,15.6698,2,34.6966,2,101.1791,2,4.6965,1,0.0014,1,-999,9
170.0,2,15.5177,2,34.6871,2,96.114,2,4.6974,1,0.0015,1,-999,9
172.0,2,15.4332,2,34.6785,2,93.8264,2,4.6979,1,0.0013,1,-999,9
174.0,2,15.2872,2,34.6722,2,93.1247,2,4.6984,1,0.0014,1,-999,9
176.0,2,15.0301,2,34.6695,2,91.7936,2,4.6986,1,0.0013,1,-999,9
178.0,2,14.7399,2,34.6646,2,89.7707,2,4.6985,1,0.0013,1,-999,9
180.0,2,14.5112,2,34.662,2,87.0415,2,4.6987,1,0.0013,1,-999,9
182.0,2,14.4311,2,34.6577,2,83.34,2,4.6989,1,0.0012,1,-999,9
184.0,2,14.3567,2,34.6545,2,81.482,2,4.6985,1,0.0012,1,-999,9
186.0,2,14.24,2,34.6517,2,80.0809,2,4.6989,1,0.0012,1,-999,9
188.0,2,14.0513,2,34.6494,2,78.5533,2,4.699,1,0.0012,1,-999,9
190.0,2,13.9139,2,34.6479,2,76.7619,2,4.6988,1,0.0013,1,-999,9
192.0,2,13.6684,2,34.6423,2,75.2317,2,4.6991,1,0.0013,1,-999,9
194.0,2,13.2689,2,34.644,2,74.8089,2,4.6986,1,0.0012,1,-999,9
196.0,2,12.9502,2,34.6424,2,72.1726,2,4.6991,1,0.0012,1,-999,9
198.0,2,12.6391,2,34.6424,2,68.428,2,4.6999,1,0.0012,1,-999,9
200.0,2,12.4222,2,34.6484,2,65.7855,2,4.6992,1,0.0012,1,-999,9
202.0,2,12.0309,2,34.6443,2,61.3846,2,4.6986,1,0.0012,1,-999,9
204.0,2,11.8749,2,34.6434,2,58.0013,2,4.6996,1,0.0012,1,-999,9
206.0,2,11.8454,2,34.6386,2,57.9372,2,4.7005,1,0.0012,1,-999,9
208.0,2,11.7812,2,34.6393,2,58.6057,2,4.7009,1,0.0012,1,-999,9
210.0,2,11.6863,2,34.6487,2,57.9607,2,4.7008,1,0.0012,1,-999,9
212.0,2,11.539,2,34.6644,2,54.1314,2,4.6996,1,0.0012,1,-999,9
214.0,2,11.4958,2,34.6629,2,46.6441,2,4.6995,1,0.0012,1,-999,9
216.0,2,11.3752,2,34.6659,2,43.9416,2,4.7003,1,0.0012,1,-999,9
218.0,2,11.3404,2,34.6663,2,43.929,2,4.7008,1,0.0012,1,-999,9
220.0,2,11.297,2,34.6657,2,44.6496,2,4.7008,1,0.0012,1,-999,9
222.0,2,11.1581,2,34.6715,2,45.2186,2,4.7009,1,0.0012,1,-999,9
224.0,2,11.0744,2,34.6735,2,47.0696,2,4.7018,1,0.0012,1,-999,9
226.0,2,10.997,2,34.673,2,48.969,2,4.7023,1,0.0012,1,-999,9
228.0,2,10.9155,2,34.6728,2,49.7217,2,4.7027,1,0.0012,1,-999,9
230.0,2,10.9003,2,34.6716,2,50.1502,2,4.7024,1,0.0012,1,-999,9
232.0,2,10.8947,2,34.6701,2,50.5211,2,4.7031,1,0.0012,1,-999,9
234.0,2,10.878,2,34.6687,2,50.5546,2,4.7034,1,0.0012,1,-999,9
236.0,2,10.8561,2,34.6683,2,50.5658,2,4.7035,1,0.0012,1,-999,9
238.0,2,10.8465,2,34.6675,2,50.2771,2,4.7038,1,0.0012,1,-999,9
240.0,2,10.8214,2,34.6665,2,50.086,2,4.7045,1,0.0012,1,-999,9
242.0,2,10.7902,2,34.6662,2,50.0065,2,4.7039,1,0.0012,1,-999,9
244.0,2,10.7507,2,34.6663,2,49.5608,2,4.7045,1,0.0012,1,-999,9
246.0,2,10.6538,2,34.6743,2,49.0202,2,4.7041,1,0.0012,1,-999,9
248.0,2,10.573,2,34.6759,2,48.8709,2,4.7038,1,0.0012,1,-999,9
250.0,2,10.5192,2,34.6741,2,48.8555,2,4.7044,1,0.0012,1,-999,9
252.0,2,10.4466,2,34.6719,2,48.6082,2,4.7044,1,0.0012,1,-999,9
254.0,2,10.3619,2,34.673,2,48.4724,2,4.7048,1,0.0012,1,-999,9
