CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 37
CASTNO = 3
DATE = 20181118
TIME = 1501
LATITUDE = -15.0001
LONGITUDE = -152.0002
INSTRUMENT_ID = 1281
DEPTH = 4865
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,28.3637,2,35.8536,2,195.9715,2,1.3845,1,4.619,1,0.0161,1
2.0,2,28.3438,2,35.8474,2,196.0715,2,1.381,1,4.6184,1,0.0164,1
4.0,2,28.3173,2,35.8636,2,195.9354,2,1.3784,1,4.6182,1,0.0164,1
6.0,2,28.3476,2,35.9249,2,195.5645,2,1.3749,1,4.619,1,0.0163,1
8.0,2,28.3754,2,36.0085,2,195.5082,2,1.3687,1,4.6184,1,0.0165,1
10.0,2,28.4092,2,36.0674,2,195.3769,2,1.3598,1,4.6188,1,0.0168,1
12.0,2,28.4679,2,36.1499,2,195.2711,2,1.351,1,4.6174,1,0.0168,1
14.0,2,28.4789,2,36.2045,2,195.786,2,1.3474,1,4.6178,1,0.0171,1
16.0,2,28.5198,2,36.3122,2,194.9962,2,1.343,1,4.6179,1,0.0168,1
18.0,2,28.5336,2,36.3335,2,194.9635,2,1.3397,1,4.6177,1,0.0166,1
20.0,2,28.4764,2,36.359,2,195.0489,2,1.3358,1,4.6186,1,0.0169,1
22.0,2,28.414,2,36.3728,2,195.164,2,1.3327,1,4.6176,1,0.0171,1
24.0,2,28.3319,2,36.3887,2,195.5273,2,1.329,1,4.6179,1,0.0171,1
26.0,2,28.2962,2,36.3886,2,196.1756,2,1.3258,1,4.616,1,0.0171,1
28.0,2,28.2786,2,36.3895,2,196.1138,2,1.3222,1,4.6157,1,0.0171,1
30.0,2,28.2397,2,36.3915,2,196.6129,2,1.319,1,4.6157,1,0.0171,1
32.0,2,28.1936,2,36.3909,2,196.6715,2,1.3167,1,4.6154,1,0.0171,1
34.0,2,28.1536,2,36.3906,2,196.6946,2,1.3133,1,4.6168,1,0.0171,1
36.0,2,28.1261,2,36.3879,2,196.6225,2,1.3103,1,4.6161,1,0.0171,1
38.0,2,28.0955,2,36.3874,2,197.1521,2,1.3076,1,4.6163,1,0.0176,1
40.0,2,28.1003,2,36.3874,2,197.0036,2,1.3047,1,4.6161,1,0.0178,1
42.0,2,28.0727,2,36.3877,2,196.9303,2,1.3023,1,4.6155,1,0.0181,1
44.0,2,28.0662,2,36.3881,2,197.4879,2,1.3002,1,4.6158,1,0.018,1
46.0,2,28.0606,2,36.3893,2,197.3602,2,1.2982,1,4.616,1,0.0184,1
48.0,2,28.0575,2,36.3902,2,196.9734,2,1.2968,1,4.615,1,0.0184,1
50.0,2,28.0485,2,36.388,2,197.4648,2,1.2949,1,4.6144,1,0.0184,1
52.0,2,28.0438,2,36.3875,2,197.5711,2,1.293,1,4.6145,1,0.0184,1
54.0,2,28.0041,2,36.3824,2,197.525,2,1.2917,1,4.6138,1,0.0184,1
56.0,2,27.8853,2,36.3638,2,198.2261,2,1.29,1,4.6129,1,0.0183,1
58.0,2,27.6574,2,36.32,2,199.3982,2,1.2884,1,4.6121,1,0.0184,1
60.0,2,27.4548,2,36.2845,2,200.2789,2,1.2873,1,4.6111,1,0.0184,1
62.0,2,27.4413,2,36.2795,2,201.1802,2,1.2863,1,4.6109,1,0.019,1
64.0,2,27.4008,2,36.288,2,201.3662,2,1.286,1,4.6111,1,0.0184,1
66.0,2,27.4467,2,36.3281,2,201.4297,2,1.2854,1,4.6111,1,0.0185,1
68.0,2,27.4005,2,36.3187,2,201.5509,2,1.2849,1,4.6121,1,0.0189,1
70.0,2,27.3664,2,36.3101,2,201.5122,2,1.2845,1,4.6126,1,0.0187,1
72.0,2,27.3809,2,36.3253,2,201.157,2,1.2846,1,4.6116,1,0.0189,1
74.0,2,27.3954,2,36.3374,2,201.3728,2,1.2846,1,4.6121,1,0.0195,1
76.0,2,27.4211,2,36.3604,2,201.1746,2,1.2846,1,4.6116,1,0.0195,1
78.0,2,27.3831,2,36.359,2,201.5437,2,1.285,1,4.6115,1,0.0199,1
80.0,2,27.3775,2,36.3634,2,201.4341,2,1.2852,1,4.6134,1,0.0195,1
82.0,2,27.368,2,36.3675,2,201.1652,2,1.2847,1,4.6133,1,0.0195,1
84.0,2,27.3507,2,36.3871,2,201.0139,2,1.2848,1,4.6141,1,0.0195,1
86.0,2,27.3348,2,36.393,2,200.8751,2,1.2848,1,4.614,1,0.0203,1
88.0,2,27.2662,2,36.3808,2,200.8812,2,1.2845,1,4.6144,1,0.02,1
90.0,2,27.255,2,36.3968,2,200.7928,2,1.2842,1,4.6164,1,0.0201,1
92.0,2,27.2338,2,36.4027,2,200.1797,2,1.2836,1,4.6162,1,0.0214,1
94.0,2,27.1835,2,36.3915,2,200.0421,2,1.2828,1,4.6163,1,0.0211,1
96.0,2,27.11,2,36.3852,2,200.1261,2,1.2828,1,4.615,1,0.0215,1
98.0,2,27.0227,2,36.3657,2,199.9854,2,1.2824,1,4.6154,1,0.022,1
100.0,2,26.9996,2,36.3772,2,200.6706,2,1.2823,1,4.6147,1,0.0227,1
102.0,2,26.9383,2,36.4076,2,197.1336,2,1.2818,1,4.6117,1,0.0253,1
104.0,2,26.8843,2,36.4126,2,195.6886,2,1.2818,1,4.6101,1,0.0272,1
106.0,2,26.8111,2,36.4179,2,193.9044,2,1.282,1,4.6089,1,0.0286,1
108.0,2,26.7653,2,36.4224,2,193.5575,2,1.2822,1,4.6081,1,0.0311,1
110.0,2,26.5869,2,36.4218,2,193.0675,2,1.2823,1,4.603,1,0.0366,1
