CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 8
CASTNO = 9
DATE = 20181005
TIME = 0311
LATITUDE = 47.0002
LONGITUDE = -151.9997
INSTRUMENT_ID = 1281
DEPTH = 5237
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,15.1271,2,32.26,2,256.6374,2,1.4713,1,4.3767,1,0.1323,1
2.0,2,15.1272,2,32.26,2,256.7184,2,1.4657,1,4.3454,1,0.1344,1
4.0,2,15.1271,2,32.2599,2,257.0643,2,1.459,1,4.3237,1,0.1368,1
6.0,2,15.1274,2,32.2599,2,257.4608,2,1.4561,1,4.3403,1,0.1384,1
8.0,2,15.128,2,32.2602,2,257.3573,2,1.4549,1,4.3237,1,0.136,1
10.0,2,15.1282,2,32.2602,2,257.6152,2,1.4539,1,4.3112,1,0.1346,1
12.0,2,15.1285,2,32.2602,2,257.663,2,1.4527,1,4.3047,1,0.1357,1
14.0,2,15.1289,2,32.2602,2,257.3371,2,1.4511,1,4.3031,1,0.1353,1
16.0,2,15.1211,2,32.2601,2,257.2227,2,1.4501,1,4.3762,1,0.1396,1
18.0,2,15.0842,2,32.2613,2,257.421,2,1.4489,1,4.3422,1,0.1427,1
20.0,2,15.0645,2,32.2618,2,257.2259,2,1.4475,1,4.3881,1,0.1413,1
22.0,2,15.06,2,32.2618,2,257.4647,2,1.4467,1,4.3921,1,0.1414,1
24.0,2,15.0576,2,32.2617,2,257.2166,2,1.4456,1,4.3792,1,0.1399,1
26.0,2,15.0535,2,32.2619,2,257.5896,2,1.4443,1,4.4018,1,0.1352,1
28.0,2,15.0492,2,32.2624,2,257.0385,2,1.4435,1,4.4071,1,0.1369,1
30.0,2,15.0153,2,32.2655,2,257.6159,2,1.4425,1,4.4146,1,0.1327,1
32.0,2,14.3786,2,32.3009,2,262.3043,2,1.441,1,4.425,1,0.1306,1
34.0,2,12.0881,2,32.45,2,275.7609,2,1.4404,1,4.4571,1,0.1341,1
36.0,2,10.3751,2,32.5371,2,283.7344,2,1.4402,1,4.4716,1,0.1337,1
38.0,2,9.5057,2,32.5996,2,287.7395,2,1.4402,1,4.5284,1,0.1039,1
40.0,2,8.7611,2,32.6178,2,288.7382,2,1.4416,1,4.5803,1,0.0797,1
42.0,2,8.6918,2,32.5988,2,292.048,2,1.4448,1,4.5973,1,0.0747,1
44.0,2,8.8419,2,32.5853,2,293.7428,2,1.4487,1,4.5982,1,0.0704,1
46.0,2,8.5324,2,32.5997,2,290.4145,2,1.4561,1,4.6163,1,0.0615,1
48.0,2,8.3318,2,32.61,2,289.3793,2,1.4624,1,4.6203,1,0.0579,1
50.0,2,8.1829,2,32.6145,2,287.5749,2,1.4657,1,4.6312,1,0.0513,1
52.0,2,8.2533,2,32.6443,2,287.6737,2,1.472,1,4.6329,1,0.049,1
