CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 36
CASTNO = 3
DATE = 20181118
TIME = 0012
LATITUDE = -12.7503
LONGITUDE = -152.0001
INSTRUMENT_ID = 1281
DEPTH = 5055
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,28.8256,2,36.2374,2,197.2637,2,1.3004,1,4.6035,1,0.0284,1
2.0,2,28.8243,2,36.2371,2,196.5269,2,1.3006,1,4.6023,1,0.0287,1
4.0,2,28.8384,2,36.2393,2,197.1754,2,1.3145,1,4.6026,1,0.0293,1
6.0,2,28.8203,2,36.2366,2,196.964,2,1.3206,1,4.6026,1,0.0296,1
8.0,2,28.8019,2,36.2346,2,197.1155,2,1.3243,1,4.6018,1,0.0288,1
10.0,2,28.7889,2,36.2325,2,196.7525,2,1.3264,1,4.6029,1,0.0283,1
12.0,2,28.7511,2,36.229,2,197.0422,2,1.3284,1,4.6023,1,0.0286,1
14.0,2,28.7873,2,36.232,2,197.697,2,1.3314,1,4.6026,1,0.0293,1
16.0,2,28.7942,2,36.2324,2,197.1979,2,1.3335,1,4.6035,1,0.0298,1
18.0,2,28.7713,2,36.2312,2,197.4492,2,1.3348,1,4.6028,1,0.0289,1
20.0,2,28.6455,2,36.2247,2,196.59,2,1.334,1,4.602,1,0.0304,1
22.0,2,28.6577,2,36.2214,2,198.2699,2,1.3323,1,4.6005,1,0.0313,1
24.0,2,28.5881,2,36.2333,2,197.7965,2,1.3301,1,4.6014,1,0.0313,1
26.0,2,28.5016,2,36.247,2,198.5299,2,1.3272,1,4.6008,1,0.0316,1
28.0,2,28.4273,2,36.2582,2,198.7331,2,1.3244,1,4.5994,1,0.0329,1
30.0,2,28.3762,2,36.2666,2,199.1459,2,1.3208,1,4.5985,1,0.0334,1
32.0,2,28.2308,2,36.2733,2,200.178,2,1.3167,1,4.5976,1,0.0345,1
34.0,2,28.1777,2,36.2716,2,200.3475,2,1.3128,1,4.5961,1,0.0362,1
36.0,2,28.0771,2,36.2708,2,200.1023,2,1.3092,1,4.5936,1,0.0393,1
38.0,2,27.9147,2,36.2555,2,200.3086,2,1.3061,1,4.5905,1,0.0434,1
40.0,2,27.6685,2,36.2461,2,199.2154,2,1.3039,1,4.5901,1,0.0459,1
42.0,2,27.6129,2,36.2379,2,197.8829,2,1.3026,1,4.5893,1,0.0486,1
44.0,2,27.5793,2,36.231,2,197.1979,2,1.3019,1,4.5894,1,0.0494,1
46.0,2,27.5703,2,36.23,2,197.4822,2,1.3022,1,4.5884,1,0.0483,1
48.0,2,27.5616,2,36.2324,2,197.2077,2,1.302,1,4.5875,1,0.0509,1
50.0,2,27.541,2,36.2542,2,197.7413,2,1.3032,1,4.5894,1,0.0496,1
52.0,2,27.4863,2,36.2698,2,199.226,2,1.304,1,4.5911,1,0.052,1
54.0,2,27.4098,2,36.2698,2,199.7295,2,1.3051,1,4.5923,1,0.0511,1
56.0,2,27.2854,2,36.2578,2,198.9908,2,1.3052,1,4.5929,1,0.0528,1
58.0,2,27.2909,2,36.2704,2,198.5521,2,1.3058,1,4.5965,1,0.0509,1
60.0,2,27.3558,2,36.3095,2,198.781,2,1.3053,1,4.6016,1,0.0504,1
