CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 12
CASTNO = 0
DATE = 20181011
TIME = 0448
LATITUDE = 37.0002
LONGITUDE = -152.0002
INSTRUMENT_ID = 1281
DEPTH = 5701
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,21.7387,6,33.8679,6,221.6642,6,4.6579,6,0.0022,6,-999,9
2.0,2,21.7387,6,33.8679,6,221.6642,6,4.6579,6,0.0022,6,-999,9
4.0,2,21.7387,2,33.8679,2,221.6642,2,4.6579,1,0.0022,1,-999,9
6.0,2,21.7378,2,33.8681,2,221.6579,2,4.6576,1,0.0021,1,-999,9
8.0,2,21.735,2,33.8683,2,221.8154,2,4.6583,1,0.002,1,-999,9
10.0,2,21.73,2,33.8686,2,222.0766,2,4.6566,1,0.0019,1,-999,9
12.0,2,21.7303,2,33.8687,2,221.8519,2,4.6563,1,0.0021,1,-999,9
14.0,2,21.7309,2,33.8688,2,222.0919,2,4.6575,1,0.0021,1,-999,9
16.0,2,21.7399,2,33.8687,2,221.7806,2,4.6581,1,0.0019,1,-999,9
18.0,2,21.7403,2,33.8687,2,222.0809,2,4.6575,1,0.002,1,-999,9
20.0,2,21.7412,2,33.8685,2,221.9123,2,4.6579,1,0.002,1,-999,9
22.0,2,21.7432,2,33.8685,2,221.7982,2,4.658,1,0.0022,1,-999,9
24.0,2,21.7444,2,33.8684,2,221.7376,2,4.6575,1,0.002,1,-999,9
26.0,2,21.7449,2,33.8686,2,221.848,2,4.6571,1,0.0021,1,-999,9
28.0,2,21.745,2,33.8687,2,222.0113,2,4.658,1,0.0021,1,-999,9
30.0,2,21.7424,2,33.8688,2,221.8406,2,4.6575,1,0.0021,1,-999,9
32.0,2,21.6992,2,33.8576,2,222.1299,2,4.6563,1,0.0022,1,-999,9
34.0,2,21.5294,2,33.8277,2,223.4017,2,4.6525,1,0.0025,1,-999,9
36.0,2,20.0325,2,33.709,2,233.7491,2,4.6476,1,0.0026,1,-999,9
38.0,2,18.0563,2,33.6967,2,241.7637,2,4.6335,1,0.0034,1,-999,9
40.0,2,17.0292,2,33.7011,2,265.4558,2,4.6296,1,0.0038,1,-999,9
42.0,2,16.5705,2,33.7267,2,274.3581,2,4.6293,1,0.0036,1,-999,9
44.0,2,16.3326,2,33.7462,2,276.359,2,4.6308,1,0.0038,1,-999,9
46.0,2,16.213,2,33.7563,2,276.6575,2,4.6319,1,0.0038,1,-999,9
48.0,2,15.9449,2,33.7812,2,277.0939,2,4.634,1,0.0037,1,-999,9
50.0,2,15.7337,2,33.8034,2,276.2295,2,4.6357,1,0.0041,1,-999,9
52.0,2,15.5899,2,33.7963,2,274.9809,2,4.6365,1,0.0039,1,-999,9
54.0,2,15.378,2,33.7892,2,275.0842,2,4.6361,1,0.004,1,-999,9
56.0,2,15.0835,2,33.7697,2,273.9113,2,4.6344,1,0.0048,1,-999,9
58.0,2,14.979,2,33.7613,2,272.1293,2,4.6345,1,0.0049,1,-999,9
60.0,2,14.8534,2,33.7514,2,271.4725,2,4.6346,1,0.005,1,-999,9
62.0,2,14.7977,2,33.7577,2,270.9909,2,4.6358,1,0.0049,1,-999,9
64.0,2,14.6084,2,33.7481,2,270.6472,2,4.6381,1,0.0051,1,-999,9
66.0,2,14.4361,2,33.7318,2,269.3706,2,4.6376,1,0.0051,1,-999,9
68.0,2,14.3481,2,33.7284,2,268.1618,2,4.6382,1,0.0056,1,-999,9
70.0,2,14.0962,2,33.695,2,268.1003,2,4.6393,1,0.006,1,-999,9
72.0,2,13.7705,2,33.6543,2,265.8228,2,4.6411,1,0.0065,1,-999,9
74.0,2,13.411,2,33.6033,2,265.5559,2,4.6391,1,0.0062,1,-999,9
76.0,2,13.1931,2,33.5805,2,265.6112,2,4.6407,1,0.0067,1,-999,9
78.0,2,13.0829,2,33.5722,2,263.3753,2,4.6425,1,0.0069,1,-999,9
80.0,2,13.0167,2,33.5814,2,263.194,2,4.6428,1,0.0073,1,-999,9
82.0,2,12.8229,2,33.6005,2,263.796,2,4.6378,1,0.0113,1,-999,9
84.0,2,12.7528,2,33.6054,2,255.5868,2,4.6381,1,0.0125,1,-999,9
86.0,2,12.6304,2,33.6178,2,250.7934,2,4.6418,1,0.0108,1,-999,9
88.0,2,12.5275,2,33.6521,2,249.2004,2,4.6536,1,0.0089,1,-999,9
90.0,2,12.5399,2,33.6621,2,241.3669,2,4.6561,1,0.009,1,-999,9
92.0,2,12.5697,2,33.743,2,239.9624,2,4.6626,1,0.0067,1,-999,9
94.0,2,12.4879,2,33.7664,2,239.2499,2,4.6682,1,0.0063,1,-999,9
96.0,2,12.4511,2,33.7939,2,237.0917,2,4.6712,1,0.0059,1,-999,9
98.0,2,12.5474,2,33.856,2,235.356,2,4.6724,1,0.0059,1,-999,9
100.0,2,12.4236,2,33.8789,2,236.187,2,4.6755,1,0.0053,1,-999,9
102.0,2,12.3915,2,33.8799,2,234.5201,2,4.678,1,0.005,1,-999,9
104.0,2,12.3542,2,33.8812,2,233.2965,2,4.6788,1,0.0051,1,-999,9
106.0,2,12.2622,2,33.898,2,232.8859,2,4.6788,1,0.0054,1,-999,9
108.0,2,12.1805,2,33.925,2,231.7893,2,4.6808,1,0.0044,1,-999,9
110.0,2,12.1732,2,33.9428,2,231.2953,2,4.6814,1,0.0043,1,-999,9
112.0,2,12.1767,2,33.9431,2,230.1373,2,4.6832,1,0.0048,1,-999,9
114.0,2,12.1492,2,33.9555,2,230.0254,2,4.6836,1,0.0043,1,-999,9
116.0,2,12.0615,2,33.9633,2,230.3482,2,4.6832,1,0.0037,1,-999,9
118.0,2,12.0285,2,33.9793,2,230.0475,2,4.6841,1,0.0037,1,-999,9
120.0,2,12.0564,2,34.0007,2,228.2437,2,4.6854,1,0.004,1,-999,9
122.0,2,12.0478,2,34.0286,2,227.5066,2,4.6861,1,0.0036,1,-999,9
124.0,2,12.043,2,34.0407,2,227.5404,2,4.6866,1,0.0031,1,-999,9
126.0,2,12.0357,2,34.0509,2,226.7406,2,4.6874,1,0.0034,1,-999,9
128.0,2,12.0324,2,34.0528,2,226.1482,2,4.6875,1,0.0034,1,-999,9
130.0,2,12.0315,2,34.0582,2,225.8941,2,4.6881,1,0.0035,1,-999,9
132.0,2,12.0191,2,34.0703,2,225.7698,2,4.6887,1,0.0031,1,-999,9
134.0,2,12.0024,2,34.0871,2,225.3526,2,4.6891,1,0.0029,1,-999,9
136.0,2,11.9976,2,34.096,2,224.7899,2,4.6897,1,0.0027,1,-999,9
