CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 15
CASTNO = 2
DATE = 20181015
TIME = 1801
LATITUDE = 29.4998
LONGITUDE = -151.9998
INSTRUMENT_ID = 1281
DEPTH = 5449
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,6,24.1952,6,35.4189,6,209.2847,6,4.6624,6,0.0012,6,-999,9
2.0,6,24.1952,6,35.4189,6,209.2847,6,4.6624,6,0.0012,6,-999,9
4.0,2,24.1837,2,35.418,2,209.9558,2,4.6624,1,0.0012,1,-999,9
6.0,2,24.1713,2,35.4176,2,209.7841,2,4.6631,1,0.0012,1,-999,9
8.0,2,24.1661,2,35.4174,2,210.3204,2,4.6639,1,0.0012,1,-999,9
10.0,2,24.1652,2,35.4174,2,210.0369,2,4.6607,1,0.0012,1,-999,9
12.0,2,24.1647,2,35.4173,2,210.1742,2,4.6579,1,0.0012,1,-999,9
14.0,2,24.1633,2,35.4173,2,210.3343,2,4.6646,1,0.0012,1,-999,9
16.0,2,24.1606,2,35.4173,2,210.4085,2,4.6579,1,0.0012,1,-999,9
18.0,2,24.1593,2,35.4172,2,210.3688,2,4.6635,1,0.0012,1,-999,9
20.0,2,24.159,2,35.4173,2,210.3644,2,4.655,1,0.0012,1,-999,9
22.0,2,24.1593,2,35.4175,2,210.8672,2,4.6656,1,0.0012,1,-999,9
24.0,2,24.16,2,35.4177,2,211.0528,2,4.6622,1,0.0012,1,-999,9
26.0,2,24.1601,2,35.4178,2,210.7551,2,4.6653,1,0.0012,1,-999,9
28.0,2,24.1597,2,35.4176,2,211.0642,2,4.6537,1,0.0012,1,-999,9
30.0,2,24.1591,2,35.4174,2,211.2289,2,4.6654,1,0.0012,1,-999,9
32.0,2,24.1575,2,35.417,2,211.0079,2,4.6645,1,0.0012,1,-999,9
34.0,2,24.1565,2,35.417,2,211.571,2,4.6641,1,0.0016,1,-999,9
36.0,2,24.1541,2,35.4168,2,211.4645,2,4.6645,1,0.0012,1,-999,9
38.0,2,24.1533,2,35.4167,2,211.4531,2,4.6648,1,0.0013,1,-999,9
40.0,2,24.1531,2,35.4166,2,211.6453,2,4.6648,1,0.0013,1,-999,9
42.0,2,24.1513,2,35.4165,2,211.4873,2,4.6648,1,0.0012,1,-999,9
44.0,2,24.1498,2,35.4164,2,211.8343,2,4.6649,1,0.0014,1,-999,9
46.0,2,24.1498,2,35.4163,2,212.0281,2,4.6633,1,0.0016,1,-999,9
48.0,2,24.1477,2,35.4163,2,212.3943,2,4.6635,1,0.0014,1,-999,9
50.0,2,24.147,2,35.4159,2,211.9427,2,4.6647,1,0.0016,1,-999,9
52.0,2,24.1456,2,35.4158,2,211.6505,2,4.665,1,0.0017,1,-999,9
54.0,2,24.1394,2,35.4149,2,211.9695,2,4.6644,1,0.0017,1,-999,9
56.0,2,24.1236,2,35.4131,2,212.3683,2,4.6652,1,0.002,1,-999,9
58.0,2,23.8761,2,35.3711,2,213.2415,2,4.6654,1,0.0018,1,-999,9
60.0,2,22.6199,2,35.2415,2,216.1452,2,4.6597,1,0.0028,1,-999,9
62.0,2,22.2527,2,35.2156,2,228.1526,2,4.6561,1,0.0034,1,-999,9
64.0,2,21.992,2,35.1876,2,229.2456,2,4.6521,1,0.0031,1,-999,9
66.0,2,21.6769,2,35.1757,2,230.5008,2,4.6579,1,0.0032,1,-999,9
68.0,2,21.511,2,35.1655,2,230.2848,2,4.6595,1,0.0035,1,-999,9
70.0,2,21.4301,2,35.1582,2,230.5725,2,4.6597,1,0.0037,1,-999,9
72.0,2,21.1956,2,35.1451,2,231.054,2,4.6606,1,0.0034,1,-999,9
74.0,2,20.9129,2,35.1383,2,229.9786,2,4.6615,1,0.0037,1,-999,9
76.0,2,20.7941,2,35.1334,2,230.0533,2,4.6638,1,0.0037,1,-999,9
78.0,2,20.7049,2,35.1287,2,229.1785,2,4.6638,1,0.004,1,-999,9
80.0,2,20.5938,2,35.1243,2,228.2459,2,4.6638,1,0.0043,1,-999,9
82.0,2,20.4858,2,35.1188,2,226.1817,2,4.664,1,0.0047,1,-999,9
84.0,2,20.403,2,35.1152,2,227.4061,2,4.6636,1,0.0048,1,-999,9
86.0,2,20.2766,2,35.1076,2,227.3485,2,4.6638,1,0.0049,1,-999,9
88.0,2,20.2131,2,35.103,2,225.6263,2,4.6647,1,0.0048,1,-999,9
90.0,2,20.0984,2,35.0931,2,225.4642,2,4.6634,1,0.0048,1,-999,9
92.0,2,19.898,2,35.0816,2,223.7631,2,4.6665,1,0.0051,1,-999,9
94.0,2,19.7781,2,35.0695,2,223.6296,2,4.6648,1,0.0056,1,-999,9
96.0,2,19.663,2,35.0591,2,223.2672,2,4.6592,1,0.0068,1,-999,9
98.0,2,19.5201,2,35.0485,2,221.6333,2,4.6536,1,0.009,1,-999,9
100.0,2,19.4807,2,35.0431,2,221.5058,2,4.6542,1,0.009,1,-999,9
102.0,2,19.3703,2,35.0342,2,220.54,2,4.6556,1,0.0077,1,-999,9
104.0,2,19.2869,2,35.0277,2,219.7981,2,4.6578,1,0.0075,1,-999,9
106.0,2,19.2489,2,35.0229,2,219.8376,2,4.6592,1,0.0071,1,-999,9
108.0,2,19.1926,2,35.0183,2,219.7426,2,4.6599,1,0.0068,1,-999,9
110.0,2,19.1387,2,35.0137,2,218.7403,2,4.6605,1,0.0077,1,-999,9
112.0,2,19.1083,2,35.0092,2,218.5218,2,4.6622,1,0.007,1,-999,9
114.0,2,19.0205,2,35.0035,2,218.9713,2,4.6643,1,0.006,1,-999,9
116.0,2,18.9693,2,34.9985,2,217.826,2,4.6668,1,0.0063,1,-999,9
118.0,2,18.9172,2,34.9912,2,217.6784,2,4.6674,1,0.0062,1,-999,9
120.0,2,18.687,2,34.9712,2,216.5559,2,4.6701,1,0.005,1,-999,9
122.0,2,18.5988,2,34.9616,2,215.2103,2,4.6729,1,0.0051,1,-999,9
124.0,2,18.5047,2,34.947,2,215.0292,2,4.6746,1,0.0049,1,-999,9
126.0,2,18.4109,2,34.9351,2,214.7084,2,4.6768,1,0.0037,1,-999,9
128.0,2,18.341,2,34.928,2,213.7177,2,4.6778,1,0.0042,1,-999,9
130.0,2,18.2928,2,34.9242,2,213.6049,2,4.6797,1,0.0032,1,-999,9
132.0,2,18.2836,2,34.9224,2,213.6795,2,4.6811,1,0.0031,1,-999,9
134.0,2,18.2831,2,34.9231,2,213.7217,2,4.6815,1,0.0033,1,-999,9
136.0,2,18.2163,2,34.92,2,213.7094,2,4.6821,1,0.0026,1,-999,9
138.0,2,18.0649,2,34.8975,2,213.3847,2,4.6832,1,0.0024,1,-999,9
140.0,2,18.0027,2,34.8922,2,212.7366,2,4.6847,1,0.0024,1,-999,9
142.0,2,17.9898,2,34.8991,2,213.287,2,4.6856,1,0.0023,1,-999,9
144.0,2,17.9031,2,34.8854,2,213.6201,2,4.6869,1,0.0021,1,-999,9
146.0,2,17.8323,2,34.8732,2,213.0653,2,4.6872,1,0.0016,1,-999,9
148.0,2,17.7958,2,34.8711,2,213.101,2,4.687,1,0.0014,1,-999,9
150.0,2,17.6568,2,34.8491,2,213.089,2,4.688,1,0.0012,1,-999,9
152.0,2,17.5434,2,34.8326,2,212.8913,2,4.6889,1,0.0012,1,-999,9
154.0,2,17.4195,2,34.8136,2,211.5939,2,4.6892,1,0.0012,1,-999,9
156.0,2,17.2976,2,34.7947,2,211.5735,2,4.6897,1,0.0012,1,-999,9
158.0,2,17.2599,2,34.7871,2,210.7561,2,4.69,1,0.0014,1,-999,9
160.0,2,17.1981,2,34.7736,2,211.0985,2,4.6902,1,0.0012,1,-999,9
162.0,2,17.0543,2,34.7508,2,210.5804,2,4.69,1,0.0012,1,-999,9
164.0,2,16.9391,2,34.7366,2,210.5317,2,4.6906,1,0.0011,1,-999,9
166.0,2,16.8871,2,34.7284,2,210.2437,2,4.6912,1,0.0012,1,-999,9
168.0,2,16.8647,2,34.7239,2,210.461,2,4.6905,1,0.0012,1,-999,9
170.0,2,16.7748,2,34.7066,2,210.6728,2,4.6911,1,0.0009,1,-999,9
172.0,2,16.6235,2,34.6859,2,210.1799,2,4.6915,1,0.001,1,-999,9
174.0,2,16.5545,2,34.6754,2,209.9145,2,4.6922,1,0.001,1,-999,9
176.0,2,16.498,2,34.6667,2,209.9538,2,4.6922,1,0.0009,1,-999,9
178.0,2,16.3889,2,34.653,2,210.2628,2,4.6924,1,0.0009,1,-999,9
180.0,2,16.2835,2,34.6396,2,210.175,2,4.6924,1,0.0011,1,-999,9
182.0,2,16.1075,2,34.6144,2,210.2362,2,4.6929,1,0.0011,1,-999,9
184.0,2,16.0519,2,34.608,2,210.1348,2,4.6933,1,0.0011,1,-999,9
186.0,2,15.9908,2,34.6065,2,210.5583,2,4.6929,1,0.0012,1,-999,9
188.0,2,15.8569,2,34.5876,2,211.2678,2,4.6919,1,0.0013,1,-999,9
190.0,2,15.661,2,34.567,2,209.7427,2,4.6926,1,0.0012,1,-999,9
192.0,2,15.6191,2,34.558,2,210.1181,2,4.6927,1,0.0012,1,-999,9
194.0,2,15.5965,2,34.5676,2,210.2283,2,4.6931,1,0.0012,1,-999,9
196.0,2,15.5304,2,34.5585,2,210.3561,2,4.6927,1,0.0012,1,-999,9
198.0,2,15.4853,2,34.5531,2,210.484,2,4.6924,1,0.0012,1,-999,9
200.0,2,15.4157,2,34.5442,2,210.5886,2,4.6923,1,0.0012,1,-999,9
202.0,2,15.3291,2,34.5341,2,210.2357,2,4.6928,1,0.0012,1,-999,9
204.0,2,15.275,2,34.5261,2,210.0718,2,4.6931,1,0.0013,1,-999,9
206.0,2,15.2235,2,34.5196,2,210.2157,2,4.6928,1,0.0013,1,-999,9
208.0,2,15.1644,2,34.5125,2,210.2594,2,4.6932,1,0.0013,1,-999,9
210.0,2,15.0425,2,34.4973,2,209.965,2,4.6933,1,0.0012,1,-999,9
212.0,2,14.9026,2,34.4728,2,209.4691,2,4.6936,1,0.0012,1,-999,9
214.0,2,14.8361,2,34.4601,2,210.5279,2,4.6942,1,0.0013,1,-999,9
216.0,2,14.5681,2,34.4172,2,210.2081,2,4.694,1,0.0012,1,-999,9
218.0,2,14.3341,2,34.3885,2,209.4887,2,4.6949,1,0.0011,1,-999,9
220.0,2,14.1805,2,34.3712,2,209.427,2,4.6949,1,0.0012,1,-999,9
222.0,2,14.1477,2,34.3619,2,210.48,2,4.6955,1,0.0012,1,-999,9
224.0,2,13.9955,2,34.3387,2,209.9554,2,4.6957,1,0.0011,1,-999,9
226.0,2,13.8619,2,34.3151,2,209.3313,2,4.6956,1,0.001,1,-999,9
228.0,2,13.7607,2,34.2956,2,209.364,2,4.6957,1,0.0011,1,-999,9
230.0,2,13.6896,2,34.2853,2,209.0112,2,4.696,1,0.0009,1,-999,9
232.0,2,13.6567,2,34.2792,2,209.2504,2,4.696,1,0.0008,1,-999,9
234.0,2,13.5728,2,34.2725,2,209.3263,2,4.6962,1,0.0007,1,-999,9
236.0,2,13.5936,2,34.2956,2,209.6345,2,4.6961,1,0.0007,1,-999,9
238.0,2,13.4247,2,34.2702,2,210.7322,2,4.6961,1,0.0007,1,-999,9
240.0,2,13.3403,2,34.2593,2,210.2024,2,4.6968,1,0.0007,1,-999,9
242.0,2,13.2792,2,34.2491,2,210.3542,2,4.6972,1,0.0006,1,-999,9
244.0,2,13.2192,2,34.2412,2,210.4415,2,4.6971,1,0.0007,1,-999,9
246.0,2,13.0573,2,34.2283,2,209.9057,2,4.6969,1,0.0006,1,-999,9
248.0,2,12.9991,2,34.2223,2,210.8229,2,4.6973,1,0.0004,1,-999,9
250.0,2,12.9144,2,34.2155,2,210.5817,2,4.6981,1,0.0006,1,-999,9
252.0,2,12.8721,2,34.2103,2,210.2951,2,4.6978,1,0.0005,1,-999,9
254.0,2,12.8076,2,34.2019,2,209.7877,2,4.6972,1,0.0005,1,-999,9
256.0,2,12.7309,2,34.1963,2,209.3329,2,4.6977,1,0.0004,1,-999,9
258.0,2,12.6889,2,34.194,2,209.4037,2,4.6982,1,0.0003,1,-999,9
260.0,2,12.6917,2,34.2005,2,210.1942,2,4.6983,1,0.0005,1,-999,9
262.0,2,12.8044,2,34.2507,2,211.2031,2,4.6981,1,0.0005,1,-999,9
264.0,2,12.8224,2,34.2552,2,211.7661,2,4.6982,1,0.0007,1,-999,9
266.0,2,12.8083,2,34.2547,2,211.8535,2,4.6983,1,0.0007,1,-999,9
268.0,2,12.7673,2,34.2513,2,212.2329,2,4.6985,1,0.0007,1,-999,9
270.0,2,12.7068,2,34.2432,2,212.1401,2,4.698,1,0.0007,1,-999,9
272.0,2,12.6572,2,34.2368,2,212.3102,2,4.6978,1,0.0008,1,-999,9
274.0,2,12.5617,2,34.2258,2,211.9015,2,4.6984,1,0.0008,1,-999,9
276.0,2,12.4795,2,34.2208,2,212.0098,2,4.6986,1,0.0008,1,-999,9
278.0,2,12.4163,2,34.2271,2,212.0646,2,4.6979,1,0.0006,1,-999,9
280.0,2,12.3388,2,34.2271,2,212.6199,2,4.6984,1,0.0005,1,-999,9
282.0,2,12.2738,2,34.2231,2,212.9345,2,4.6986,1,0.0005,1,-999,9
284.0,2,12.2628,2,34.2209,2,213.5391,2,4.6994,1,0.0005,1,-999,9
286.0,2,12.1967,2,34.2168,2,213.186,2,4.6996,1,0.0006,1,-999,9
288.0,2,12.1775,2,34.2174,2,213.3949,2,4.6995,1,0.0007,1,-999,9
290.0,2,12.1557,2,34.2139,2,213.8927,2,4.6991,1,0.0005,1,-999,9
292.0,2,12.0951,2,34.2106,2,213.7253,2,4.6998,1,0.0004,1,-999,9
294.0,2,12.0686,2,34.2162,2,213.9607,2,4.6997,1,0.0004,1,-999,9
296.0,2,12.0315,2,34.2152,2,214.5236,2,4.6998,1,0.0005,1,-999,9
298.0,2,11.9515,2,34.2112,2,214.7278,2,4.7,1,0.0005,1,-999,9
300.0,2,11.8911,2,34.2071,2,214.4829,2,4.7,1,0.0004,1,-999,9
302.0,2,11.8372,2,34.203,2,214.628,2,4.7,1,0.0004,1,-999,9
304.0,2,11.8113,2,34.1997,2,214.8105,2,4.7003,1,0.0006,1,-999,9
