CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 29
CASTNO = 5
DATE = 20181108
TIME = 1712
LATITUDE = -0.0002
LONGITUDE = -151.9997
INSTRUMENT_ID = 1281
DEPTH = 4438
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,27.5863,2,35.2425,2,194.118,2,1.326,1,4.5652,1,0.0295,1
2.0,2,27.5875,2,35.2427,2,193.918,2,1.324,1,4.564,1,0.0285,1
4.0,2,27.5877,2,35.2427,2,194.512,2,1.3222,1,4.5641,1,0.028,1
6.0,2,27.5866,2,35.2428,2,194.2618,2,1.3228,1,4.5643,1,0.0287,1
8.0,2,27.5867,2,35.2428,2,194.3046,2,1.3233,1,4.5648,1,0.0291,1
10.0,2,27.5841,2,35.2427,2,194.3365,2,1.3224,1,4.5644,1,0.0293,1
12.0,2,27.575,2,35.2426,2,194.4613,2,1.3208,1,4.5632,1,0.0303,1
14.0,2,27.5411,2,35.2423,2,194.6064,2,1.3194,1,4.5617,1,0.0324,1
16.0,2,27.5514,2,35.2419,2,194.9099,2,1.3184,1,4.5621,1,0.0318,1
18.0,2,27.4922,2,35.241,2,195.2194,2,1.3173,1,4.5567,1,0.0352,1
20.0,2,27.4876,2,35.2404,2,194.5916,2,1.3161,1,4.5565,1,0.0369,1
22.0,2,27.4785,2,35.2401,2,194.6031,2,1.3148,1,4.555,1,0.0365,1
24.0,2,27.4635,2,35.2401,2,194.3754,2,1.3133,1,4.5556,1,0.0376,1
