CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 27
CASTNO = 11
DATE = 20181107
TIME = 1146
LATITUDE = 2.5007
LONGITUDE = -152.0020
INSTRUMENT_ID = 1281
DEPTH = 4639
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,28.7363,2,34.5664,2,198.9257,2,1.2799,1,4.6065,1,0.0208,1
2.0,2,28.7361,2,34.5665,2,198.9708,2,1.2802,1,4.6069,1,0.0208,1
4.0,2,28.7369,2,34.5666,2,198.3367,2,1.2816,1,4.6067,1,0.0211,1
6.0,2,28.7319,2,34.5663,2,198.229,2,1.2822,1,4.6061,1,0.0227,1
8.0,2,28.7314,2,34.5662,2,199.1062,2,1.2821,1,4.6058,1,0.0233,1
10.0,2,28.729,2,34.5662,2,199.4055,2,1.2817,1,4.6055,1,0.0241,1
12.0,2,28.7301,2,34.5661,2,199.3411,2,1.2816,1,4.6063,1,0.0237,1
14.0,2,28.7312,2,34.5662,2,199.1793,2,1.2819,1,4.6046,1,0.0241,1
16.0,2,28.7316,2,34.5663,2,199.478,2,1.2822,1,4.606,1,0.0239,1
18.0,2,28.7303,2,34.5664,2,199.7033,2,1.2823,1,4.6055,1,0.0246,1
20.0,2,28.7284,2,34.5667,2,199.0089,2,1.282,1,4.6042,1,0.0248,1
22.0,2,28.7263,2,34.5674,2,199.8462,2,1.2826,1,4.6054,1,0.0256,1
24.0,2,28.7223,2,34.5686,2,199.8179,2,1.2819,1,4.6051,1,0.0267,1
26.0,2,28.7182,2,34.5702,2,199.8923,2,1.2812,1,4.604,1,0.027,1
28.0,2,28.7139,2,34.5737,2,199.7734,2,1.2806,1,4.6002,1,0.0277,1
30.0,2,28.7095,2,34.5781,2,200.1398,2,1.28,1,4.6022,1,0.029,1
32.0,2,28.6972,2,34.59,2,199.836,2,1.2798,1,4.5991,1,0.0305,1
34.0,2,28.6741,2,34.6142,2,199.5307,2,1.2791,1,4.5979,1,0.0323,1
36.0,2,28.6448,2,34.6461,2,200.0981,2,1.2787,1,4.5972,1,0.0342,1
38.0,2,28.5925,2,34.6957,2,199.6589,2,1.2782,1,4.5956,1,0.0366,1
40.0,2,28.5392,2,34.7385,2,198.6688,2,1.2777,1,4.5968,1,0.0388,1
42.0,2,28.4481,2,34.8012,2,197.7744,2,1.2773,1,4.5966,1,0.0407,1
44.0,2,28.3876,2,34.8199,2,197.2412,2,1.2771,1,4.5953,1,0.0421,1
46.0,2,28.3731,2,34.8197,2,197.1839,2,1.2772,1,4.594,1,0.0425,1
48.0,2,28.3741,2,34.8217,2,197.2606,2,1.2775,1,4.5947,1,0.044,1
50.0,2,28.3549,2,34.8253,2,196.9152,2,1.2784,1,4.5952,1,0.0439,1
52.0,2,28.2916,2,34.8344,2,196.4164,2,1.2788,1,4.5968,1,0.0444,1
54.0,2,28.1133,2,34.8672,2,195.2464,2,1.2791,1,4.596,1,0.0443,1
56.0,2,27.9945,2,34.8899,2,193.8744,2,1.2803,1,4.5974,1,0.0445,1
58.0,2,27.7628,2,34.9405,2,192.0083,2,1.281,1,4.5993,1,0.0446,1
60.0,2,27.5856,2,34.9998,2,191.5952,2,1.283,1,4.6024,1,0.0438,1
62.0,2,27.4947,2,35.0383,2,191.6176,2,1.285,1,4.6067,1,0.0425,1
64.0,2,27.5141,2,35.0859,2,192.5618,2,1.2875,1,4.6097,1,0.0422,1
66.0,2,27.5362,2,35.1003,2,193.5846,2,1.2893,1,4.6115,1,0.0419,1
68.0,2,27.5421,2,35.1021,2,194.0006,2,1.2913,1,4.6137,1,0.042,1
70.0,2,27.5555,2,35.1087,2,194.5055,2,1.2914,1,4.6148,1,0.0419,1
72.0,2,27.5635,2,35.1125,2,194.3482,2,1.2943,1,4.6149,1,0.0422,1
74.0,2,27.5761,2,35.1207,2,194.9371,2,1.2939,1,4.6167,1,0.0419,1
76.0,2,27.5844,2,35.1264,2,194.987,2,1.2937,1,4.618,1,0.0409,1
78.0,2,27.5818,2,35.1372,2,194.931,2,1.2948,1,4.6191,1,0.0407,1
80.0,2,27.5137,2,35.1418,2,194.8344,2,1.2964,1,4.6207,1,0.0411,1
82.0,2,27.4619,2,35.1511,2,193.5517,2,1.2976,1,4.6209,1,0.0422,1
84.0,2,27.4498,2,35.1565,2,192.7169,2,1.3005,1,4.6214,1,0.0401,1
86.0,2,27.4414,2,35.1616,2,192.8612,2,1.3011,1,4.6216,1,0.0411,1
88.0,2,27.4372,2,35.1641,2,192.3827,2,1.3014,1,4.621,1,0.0406,1
90.0,2,27.4344,2,35.1654,2,192.955,2,1.3026,1,4.6211,1,0.0408,1
92.0,2,27.4318,2,35.1666,2,192.6212,2,1.3008,1,4.6209,1,0.0421,1
94.0,2,27.4275,2,35.1681,2,191.6954,2,1.3004,1,4.6197,1,0.0418,1
96.0,2,27.4227,2,35.1694,2,192.2105,2,1.2998,1,4.6204,1,0.042,1
98.0,2,27.415,2,35.1713,2,192.4676,2,1.299,1,4.6204,1,0.0418,1
100.0,2,27.4103,2,35.1724,2,192.3845,2,1.2972,1,4.6209,1,0.0412,1
102.0,2,27.4093,2,35.1726,2,192.4902,2,1.2979,1,4.6215,1,0.0406,1
104.0,2,27.3997,2,35.1736,2,192.544,2,1.298,1,4.6207,1,0.041,1
106.0,2,27.3788,2,35.1751,2,192.0281,2,1.2987,1,4.6153,1,0.0407,1
108.0,2,27.3628,2,35.1756,2,191.962,2,1.2995,1,4.6052,1,0.0393,1
110.0,2,27.3163,2,35.1756,2,191.3707,2,1.2995,1,4.623,1,0.0379,1
112.0,2,27.28,2,35.1739,2,191.3466,2,1.2991,1,4.625,1,0.0385,1
114.0,2,27.2387,2,35.1708,2,189.715,2,1.2991,1,4.6242,1,0.0355,1
116.0,2,27.1606,2,35.1609,2,187.5434,2,1.2996,1,4.626,1,0.035,1
118.0,2,27.0298,2,35.142,2,185.3019,2,1.3006,1,4.6266,1,0.0366,1
120.0,2,26.8618,2,35.105,2,183.444,2,1.3017,1,4.6283,1,0.0369,1
122.0,2,26.7553,2,35.0822,2,178.7147,2,1.3021,1,4.6286,1,0.0345,1
124.0,2,26.6445,2,35.0592,2,176.6865,2,1.3032,1,4.6293,1,0.0362,1
