CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 27
CASTNO = 2
DATE = 20181106
TIME = 0328
LATITUDE = 2.5022
LONGITUDE = -152.0056
INSTRUMENT_ID = 1281
DEPTH = 4639
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,6,28.7273,6,34.5595,6,197.4139,6,4.6403,6,0.0093,6,-999,9
2.0,6,28.7273,6,34.5595,6,197.4139,6,4.6403,6,0.0093,6,-999,9
4.0,6,28.7273,6,34.5595,6,197.4139,6,4.6403,6,0.0093,6,-999,9
6.0,6,28.7273,6,34.5595,6,197.4139,6,4.6403,6,0.0093,6,-999,9
8.0,2,28.7308,2,34.5602,2,197.2868,2,4.6389,1,0.0091,1,-999,9
10.0,2,28.7294,2,34.5605,2,198.052,2,4.6397,1,0.009,1,-999,9
12.0,2,28.7293,2,34.5613,2,198.1269,2,4.6377,1,0.0088,1,-999,9
14.0,2,28.73,2,34.5622,2,197.9025,2,4.6391,1,0.0092,1,-999,9
16.0,2,28.7306,2,34.5623,2,198.0208,2,4.6392,1,0.0092,1,-999,9
18.0,2,28.7289,2,34.5636,2,197.8756,2,4.6386,1,0.0093,1,-999,9
20.0,2,28.7289,2,34.5636,2,197.9768,2,4.6382,1,0.0092,1,-999,9
22.0,2,28.7291,2,34.5638,2,198.0548,2,4.6383,1,0.0092,1,-999,9
24.0,2,28.7307,2,34.5631,2,197.8981,2,4.6386,1,0.0091,1,-999,9
26.0,2,28.7303,2,34.5639,2,197.989,2,4.6392,1,0.0094,1,-999,9
28.0,2,28.7277,2,34.5658,2,198.0128,2,4.6393,1,0.0091,1,-999,9
30.0,2,28.7253,2,34.5678,2,197.6565,2,4.6388,1,0.0094,1,-999,9
32.0,2,28.7225,2,34.5697,2,198.2563,2,4.6384,1,0.0098,1,-999,9
34.0,2,28.7173,2,34.5722,2,197.6186,2,4.6382,1,0.0104,1,-999,9
36.0,2,28.7145,2,34.5742,2,197.585,2,4.6378,1,0.01,1,-999,9
38.0,2,28.708,2,34.5783,2,197.7414,2,4.6378,1,0.01,1,-999,9
40.0,2,28.7043,2,34.5815,2,198.0856,2,4.6375,1,0.01,1,-999,9
42.0,2,28.6878,2,34.5952,2,197.731,2,4.6375,1,0.0108,1,-999,9
44.0,2,28.6707,2,34.6094,2,197.8808,2,4.6378,1,0.0109,1,-999,9
46.0,2,28.6485,2,34.6312,2,197.706,2,4.6356,1,0.0119,1,-999,9
48.0,2,28.6121,2,34.6636,2,197.5421,2,4.6345,1,0.0127,1,-999,9
50.0,2,28.5665,2,34.6989,2,197.2468,2,4.6328,1,0.0139,1,-999,9
52.0,2,28.4854,2,34.749,2,196.7845,2,4.6306,1,0.0165,1,-999,9
54.0,2,28.3646,2,34.8009,2,195.6734,2,4.6287,1,0.018,1,-999,9
56.0,2,28.1786,2,34.8416,2,193.7955,2,4.63,1,0.02,1,-999,9
58.0,2,28.0111,2,34.8765,2,192.071,2,4.6316,1,0.0191,1,-999,9
60.0,2,27.8465,2,34.9242,2,191.6955,2,4.6344,1,0.0175,1,-999,9
62.0,2,27.658,2,34.9586,2,192.9545,2,4.6402,1,0.0163,1,-999,9
64.0,2,27.5583,2,34.965,2,192.4678,2,4.6409,1,0.0157,1,-999,9
66.0,2,27.5032,2,34.9862,2,192.0869,2,4.6408,1,0.0155,1,-999,9
68.0,2,27.4888,2,35.0187,2,191.4699,2,4.6419,1,0.0153,1,-999,9
70.0,2,27.512,2,35.0405,2,192.5124,2,4.6445,1,0.015,1,-999,9
72.0,2,27.5272,2,35.0504,2,193.1751,2,4.6479,1,0.014,1,-999,9
74.0,2,27.5328,2,35.0561,2,193.2969,2,4.6477,1,0.0134,1,-999,9
76.0,2,27.5406,2,35.0673,2,193.7223,2,4.6483,1,0.0131,1,-999,9
78.0,2,27.5438,2,35.0749,2,193.9044,2,4.6499,1,0.0142,1,-999,9
80.0,2,27.552,2,35.0885,2,193.2791,2,4.6507,1,0.0123,1,-999,9
82.0,2,27.5663,2,35.1002,2,194.5055,2,4.653,1,0.0133,1,-999,9
84.0,2,27.5728,2,35.1046,2,194.1073,2,4.6545,1,0.0115,1,-999,9
86.0,2,27.5805,2,35.1081,2,194.7762,2,4.6548,1,0.0132,1,-999,9
88.0,2,27.588,2,35.1125,2,194.9151,2,4.6571,1,0.011,1,-999,9
90.0,2,27.5978,2,35.1201,2,195.1407,2,4.6565,1,0.0112,1,-999,9
92.0,2,27.6117,2,35.1309,2,195.3458,2,4.6581,1,0.0099,1,-999,9
94.0,2,27.576,2,35.135,2,195.0252,2,4.6598,1,0.0101,1,-999,9
96.0,2,27.4919,2,35.1414,2,194.2944,2,4.6607,1,0.0117,1,-999,9
98.0,2,27.4327,2,35.1464,2,192.8991,2,4.6605,1,0.0101,1,-999,9
100.0,2,27.4261,2,35.1511,2,192.457,2,4.6593,1,0.0102,1,-999,9
102.0,2,27.4286,2,35.1561,2,192.5512,2,4.6609,1,0.0115,1,-999,9
104.0,2,27.4322,2,35.1618,2,192.7552,2,4.6611,1,0.0098,1,-999,9
106.0,2,27.4343,2,35.1651,2,192.2908,2,4.6617,1,0.0116,1,-999,9
108.0,2,27.4327,2,35.1665,2,192.9123,2,4.6626,1,0.0091,1,-999,9
110.0,2,27.4194,2,35.1698,2,192.2676,2,4.6637,1,0.0084,1,-999,9
112.0,2,27.4008,2,35.174,2,192.7098,2,4.6642,1,0.0087,1,-999,9
114.0,2,27.3695,2,35.1795,2,191.421,2,4.6626,1,0.0088,1,-999,9
116.0,2,27.3209,2,35.1768,2,191.7108,2,4.6654,1,0.0078,1,-999,9
118.0,2,27.2043,2,35.1591,2,190.0545,2,4.6662,1,0.0073,1,-999,9
120.0,2,27.1567,2,35.1505,2,187.5562,2,4.6665,1,0.0074,1,-999,9
122.0,2,27.0833,2,35.1332,2,186.5745,2,4.6673,1,0.0077,1,-999,9
124.0,2,26.9056,2,35.091,2,183.361,2,4.6677,1,0.0076,1,-999,9
126.0,2,26.6902,2,35.0449,2,180.6723,2,4.6689,1,0.0073,1,-999,9
128.0,2,26.5223,2,35.0119,2,175.9886,2,4.6706,1,0.0075,1,-999,9
130.0,2,26.4641,2,34.9984,2,174.0206,2,4.6709,1,0.0072,1,-999,9
132.0,2,26.384,2,34.9801,2,172.5088,2,4.6718,1,0.0066,1,-999,9
134.0,2,26.2143,2,34.9437,2,170.814,2,4.6721,1,0.0068,1,-999,9
136.0,2,25.1006,2,34.82,2,162.2686,2,4.6733,1,0.0066,1,-999,9
138.0,2,24.3047,2,34.8171,2,145.4832,2,4.6767,1,0.0052,1,-999,9
140.0,2,23.9214,2,34.8041,2,144.0706,2,4.678,1,0.0049,1,-999,9
142.0,2,23.4914,2,34.8071,2,140.7785,2,4.6793,1,0.0049,1,-999,9
144.0,2,23.3064,2,34.8141,2,138.8382,2,4.6795,1,0.0049,1,-999,9
146.0,2,22.639,2,34.8198,2,135.693,2,4.6801,1,0.0046,1,-999,9
148.0,2,21.4715,2,34.8009,2,130.6545,2,4.6813,1,0.004,1,-999,9
150.0,2,19.932,2,34.7741,2,126.0199,2,4.6824,1,0.0037,1,-999,9
152.0,2,18.4265,2,34.7682,2,117.0867,2,4.6861,1,0.0029,1,-999,9
154.0,2,17.495,2,34.7665,2,109.5556,2,4.6883,1,0.0024,1,-999,9
156.0,2,16.3728,2,34.7705,2,102.2879,2,4.6894,1,0.0024,1,-999,9
158.0,2,15.8078,2,34.7574,2,99.1394,2,4.6906,1,0.0024,1,-999,9
160.0,2,15.0112,2,34.7563,2,98.3011,2,4.6917,1,0.0024,1,-999,9
162.0,2,14.518,2,34.7583,2,96.9803,2,4.6925,1,0.0023,1,-999,9
164.0,2,14.3394,2,34.7578,2,94.5717,2,4.6931,1,0.0022,1,-999,9
166.0,2,14.2103,2,34.7582,2,93.7488,2,4.6947,1,0.0021,1,-999,9
168.0,2,13.8143,2,34.7864,2,91.1322,2,4.6953,1,0.002,1,-999,9
170.0,2,13.3921,2,34.8217,2,80.8844,2,4.6948,1,0.0013,1,-999,9
172.0,2,13.2229,2,34.8222,2,77.3526,2,4.6961,1,0.0014,1,-999,9
174.0,2,13.1801,2,34.8592,2,73.981,2,4.6974,1,0.0012,1,-999,9
176.0,2,13.1309,2,34.8642,2,64.4151,2,4.6984,1,0.0012,1,-999,9
178.0,2,13.0665,2,34.8736,2,62.5238,2,4.6984,1,0.0012,1,-999,9
180.0,2,12.8763,2,34.8905,2,54.7078,2,4.6984,1,0.0012,1,-999,9
182.0,2,12.8185,2,34.8874,2,48.2621,2,4.6992,1,0.0012,1,-999,9
184.0,2,12.7822,2,34.8842,2,48.4497,2,4.6994,1,0.0012,1,-999,9
186.0,2,12.7423,2,34.8808,2,48.8984,2,4.6995,1,0.0012,1,-999,9
188.0,2,12.6532,2,34.8762,2,50.778,2,4.6993,1,0.0012,1,-999,9
190.0,2,12.5837,2,34.8726,2,52.3044,2,4.7002,1,0.0012,1,-999,9
192.0,2,12.4897,2,34.8656,2,51.355,2,4.7008,1,0.0012,1,-999,9
194.0,2,12.444,2,34.8608,2,54.3445,2,4.7004,1,0.0012,1,-999,9
196.0,2,12.4327,2,34.8576,2,56.1874,2,4.702,1,0.0011,1,-999,9
198.0,2,12.3612,2,34.8513,2,56.884,2,4.7023,1,0.0011,1,-999,9
200.0,2,12.3053,2,34.8485,2,59.5307,2,4.7027,1,0.0012,1,-999,9
202.0,2,12.2304,2,34.8459,2,59.8623,2,4.7034,1,0.0012,1,-999,9
204.0,2,12.1959,2,34.8436,2,57.1133,2,4.7038,1,0.0012,1,-999,9
206.0,2,12.1698,2,34.8412,2,55.058,2,4.7044,1,0.0012,1,-999,9
208.0,2,12.1434,2,34.839,2,55.6686,2,4.7043,1,0.0012,1,-999,9
210.0,2,12.0929,2,34.8352,2,56.9764,2,4.7052,1,0.0012,1,-999,9
212.0,2,12.0314,2,34.8293,2,59.364,2,4.7056,1,0.0011,1,-999,9
214.0,2,11.9781,2,34.8258,2,62.1225,2,4.7057,1,0.0012,1,-999,9
216.0,2,11.9028,2,34.8201,2,66.3624,2,4.7061,1,0.0012,1,-999,9
218.0,2,11.8416,2,34.8162,2,72.5427,2,4.7067,1,0.0011,1,-999,9
220.0,2,11.8373,2,34.8155,2,75.3026,2,4.7069,1,0.0011,1,-999,9
222.0,2,11.8282,2,34.8141,2,74.5555,2,4.7071,1,0.0012,1,-999,9
224.0,2,11.7904,2,34.8133,2,74.8977,2,4.7073,1,0.001,1,-999,9
226.0,2,11.7667,2,34.8127,2,76.6148,2,4.708,1,0.001,1,-999,9
228.0,2,11.7289,2,34.8115,2,76.9711,2,4.708,1,0.0012,1,-999,9
230.0,2,11.7106,2,34.8114,2,74.9285,2,4.7076,1,0.001,1,-999,9
232.0,2,11.7037,2,34.8114,2,74.6418,2,4.7079,1,0.001,1,-999,9
234.0,2,11.6891,2,34.8119,2,74.6186,2,4.7082,1,0.0011,1,-999,9
236.0,2,11.674,2,34.8121,2,73.9777,2,4.7082,1,0.001,1,-999,9
238.0,2,11.6378,2,34.8138,2,72.7667,2,4.7079,1,0.0009,1,-999,9
240.0,2,11.6028,2,34.8119,2,69.7886,2,4.7075,1,0.0009,1,-999,9
