CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 22
CASTNO = 3
DATE = 20181031
TIME = 2000
LATITUDE = 9.2472
LONGITUDE = -151.9965
INSTRUMENT_ID = 1281
DEPTH = 5185
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,29.2512,2,33.4218,2,194.8233,3,1.3114,1,4.6319,1,0.0184,1
2.0,2,29.2506,2,33.4232,2,194.2057,3,1.3102,1,4.6316,1,0.0184,1
4.0,2,29.2537,2,33.4232,2,194.244,3,1.3072,1,4.6315,1,0.0184,1
6.0,2,29.2587,2,33.4251,2,193.964,3,1.3056,1,4.6321,1,0.0184,1
8.0,2,29.2594,2,33.4266,2,192.6185,3,1.3044,1,4.6321,1,0.0184,1
10.0,2,29.2596,2,33.4261,2,191.9894,3,1.3026,1,4.632,1,0.0184,1
12.0,2,29.2604,2,33.4256,2,191.6604,3,1.3009,1,4.6316,1,0.0185,1
14.0,2,29.2673,2,33.4338,2,191.0252,3,1.2992,1,4.6311,1,0.0181,1
16.0,2,29.2681,2,33.4391,2,190.156,3,1.2983,1,4.6314,1,0.0184,1
18.0,2,29.2661,2,33.4361,2,189.8098,3,1.2971,1,4.6313,1,0.0185,1
20.0,2,29.2768,2,33.4745,2,189.1942,3,1.2961,1,4.6311,1,0.0185,1
22.0,2,29.2745,2,33.4574,2,189.4501,3,1.2954,1,4.6309,1,0.0185,1
24.0,2,29.2741,2,33.4587,2,188.5935,3,1.2951,1,4.6314,1,0.0185,1
26.0,2,29.1825,2,33.6532,2,195.4704,3,1.2944,1,4.629,1,0.0184,1
28.0,2,29.0121,2,33.8801,2,209.1612,3,1.2938,1,4.6172,1,0.0203,1
30.0,2,28.8053,2,33.9971,2,217.515,3,1.2935,1,4.6147,1,0.0208,1
32.0,2,28.7073,2,34.0201,2,224.8544,3,1.294,1,4.5977,1,0.0211,1
34.0,2,28.4763,2,34.0694,2,233.5558,3,1.2951,1,4.6119,1,0.0215,1
36.0,2,28.0481,2,34.1877,2,253.2219,3,1.2958,1,4.6082,1,0.022,1
38.0,2,27.0362,2,34.4077,2,290.9286,3,1.296,1,4.6048,1,0.0228,1
40.0,2,26.6066,2,34.4372,2,297.9806,3,1.2968,1,4.6027,1,0.0248,1
42.0,2,25.9565,2,34.4818,2,310.7088,3,1.2976,1,4.5969,1,0.0271,1
44.0,2,24.7054,2,34.532,2,312.1906,3,1.2992,1,4.591,1,0.0288,1
46.0,2,23.7886,2,34.5698,2,309.5441,3,1.3014,1,4.5882,1,0.0317,1
48.0,2,22.6496,2,34.5764,2,295.4641,3,1.3045,1,4.5873,1,0.0338,1
50.0,2,21.7891,2,34.5726,2,276.4328,3,1.3061,1,4.5769,1,0.0431,1
52.0,2,21.5281,2,34.5581,2,273.9217,3,1.3118,1,4.5669,1,0.0545,1
54.0,2,20.1608,2,34.5506,2,239.6487,3,1.3176,1,4.5566,1,0.0641,1
56.0,2,19.0876,2,34.5394,2,196.4875,3,1.322,1,4.5597,1,0.0678,1
58.0,2,19.0197,2,34.5277,2,208.0127,3,1.3295,1,4.5668,1,0.0672,1
