CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 17
CASTNO = 3
DATE = 20181018
TIME = 0917
LATITUDE = 24.4999
LONGITUDE = -152.0003
INSTRUMENT_ID = 1281
DEPTH = 5346
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,25.8954,2,34.7454,2,193.6124,2,1.3578,1,4.641,1,0.0183,1
2.0,2,25.8908,2,34.7449,2,194.5264,2,1.3576,1,4.6401,1,0.0183,1
4.0,2,25.889,2,34.745,2,194.8943,2,1.3555,1,4.6412,1,0.0184,1
6.0,2,25.8864,2,34.745,2,195.22,2,1.3544,1,4.6418,1,0.0184,1
8.0,2,25.8891,2,34.7448,2,195.1494,2,1.352,1,4.6422,1,0.0184,1
10.0,2,25.8932,2,34.745,2,194.5018,2,1.3496,1,4.6416,1,0.0188,1
12.0,2,25.894,2,34.745,2,195.3788,2,1.3463,1,4.6411,1,0.0183,1
14.0,2,25.8935,2,34.7449,2,195.7442,2,1.3433,1,4.6422,1,0.0183,1
16.0,2,25.8967,2,34.7452,2,195.6396,2,1.3402,1,4.6405,1,0.0183,1
18.0,2,25.8982,2,34.7454,2,195.5241,2,1.3364,1,4.6396,1,0.0183,1
20.0,2,25.8973,2,34.7453,2,195.0872,2,1.3328,1,4.641,1,0.0183,1
22.0,2,25.8951,2,34.7448,2,195.3731,2,1.3316,1,4.6387,1,0.0184,1
24.0,2,25.8953,2,34.7444,2,195.6788,2,1.3293,1,4.639,1,0.0186,1
26.0,2,25.8903,2,34.7438,2,195.5298,2,1.3278,1,4.6385,1,0.0194,1
28.0,2,25.8877,2,34.7439,2,195.1528,2,1.3275,1,4.6381,1,0.0185,1
30.0,2,25.8862,2,34.744,2,195.9071,2,1.3267,1,4.6386,1,0.0188,1
32.0,2,25.8849,2,34.7443,2,195.7082,2,1.3256,1,4.6393,1,0.0194,1
34.0,2,25.8849,2,34.7446,2,195.7192,2,1.3251,1,4.6388,1,0.019,1
36.0,2,25.8832,2,34.7446,2,195.5333,2,1.3253,1,4.6387,1,0.0189,1
38.0,2,25.8822,2,34.7449,2,195.7703,2,1.3247,1,4.6367,1,0.019,1
40.0,2,25.8778,2,34.7454,2,196.0317,2,1.3236,1,4.6382,1,0.0195,1
42.0,2,25.8708,2,34.7461,2,195.8434,2,1.3234,1,4.6393,1,0.0195,1
44.0,2,25.8522,2,34.7487,2,195.6487,2,1.3226,1,4.6384,1,0.0197,1
46.0,2,25.8102,2,34.7537,2,196.4259,2,1.3218,1,4.639,1,0.0202,1
48.0,2,25.6777,2,34.7704,2,197.7448,2,1.3211,1,4.636,1,0.0205,1
50.0,2,25.4562,2,34.8253,2,198.9315,2,1.3204,1,4.6329,1,0.0208,1
52.0,2,25.4876,2,34.9816,2,199.2669,2,1.3193,1,4.6343,1,0.0208,1
54.0,2,25.4849,2,35.0146,2,198.3313,2,1.3196,1,4.6365,1,0.0205,1
56.0,2,25.4406,2,35.0344,2,197.7722,2,1.3191,1,4.6383,1,0.0196,1
58.0,2,25.3064,2,35.0491,2,198.046,2,1.319,1,4.6387,1,0.0203,1
60.0,2,25.2116,2,35.0563,2,198.039,2,1.3187,1,4.6391,1,0.0208,1
62.0,2,25.2032,2,35.0547,2,198.2411,2,1.3182,1,4.6377,1,0.021,1
64.0,2,25.0727,2,35.0522,2,198.765,2,1.318,1,4.6383,1,0.0208,1
66.0,2,24.8756,2,35.0329,2,200.4368,2,1.3182,1,4.6373,1,0.0208,1
68.0,2,24.7231,2,35.0286,2,201.695,2,1.3182,1,4.6396,1,0.0217,1
70.0,2,24.3253,2,35.0247,2,203.8453,2,1.3188,1,4.6389,1,0.0223,1
72.0,2,23.9425,2,35.0316,2,206.8851,2,1.3192,1,4.635,1,0.0241,1
74.0,2,23.8744,2,35.0386,2,208.377,2,1.32,1,4.6333,1,0.0257,1
76.0,2,23.7538,2,35.0482,2,209.6313,2,1.3209,1,4.6318,1,0.0257,1
78.0,2,23.5181,2,35.0708,2,210.2721,2,1.3225,1,4.6331,1,0.0268,1
80.0,2,23.4062,2,35.0711,2,209.8323,2,1.3246,1,4.632,1,0.0301,1
82.0,2,23.1252,2,35.0812,2,209.6713,2,1.3268,1,4.6319,1,0.0299,1
84.0,2,23.0215,2,35.0809,2,208.7339,2,1.3286,1,4.6327,1,0.0315,1
86.0,2,22.9507,2,35.0839,2,208.5217,2,1.33,1,4.6328,1,0.0326,1
88.0,2,22.8584,2,35.0858,2,208.0147,2,1.3317,1,4.6335,1,0.0323,1
90.0,2,22.7745,2,35.0874,2,207.3493,2,1.3336,1,4.6341,1,0.0343,1
92.0,2,22.6362,2,35.0929,2,207.6523,2,1.3348,1,4.6321,1,0.0359,1
94.0,2,22.5851,2,35.0952,2,207.2113,2,1.3367,1,4.6319,1,0.0354,1
96.0,2,22.4037,2,35.104,2,207.4676,2,1.3382,1,4.6349,1,0.0343,1
98.0,2,22.3827,2,35.1035,2,206.9327,2,1.3399,1,4.6362,1,0.0356,1
100.0,2,22.2256,2,35.1063,2,206.449,2,1.3419,1,4.6383,1,0.0337,1
102.0,2,22.1543,2,35.1064,2,206.0319,2,1.3446,1,4.6413,1,0.0336,1
104.0,2,21.9869,2,35.1051,2,205.9242,2,1.3478,1,4.6429,1,0.0324,1
106.0,2,21.7761,2,35.1072,2,204.9718,2,1.3502,1,4.6464,1,0.0318,1
108.0,2,21.6339,2,35.1041,2,203.7087,2,1.3507,1,4.6475,1,0.0316,1
110.0,2,21.5598,2,35.101,2,202.4213,2,1.3517,1,4.65,1,0.0294,1
112.0,2,21.4776,2,35.0979,2,202.1807,2,1.3528,1,4.6509,1,0.0298,1
114.0,2,21.436,2,35.0984,2,201.5261,2,1.3538,1,4.652,1,0.0283,1
116.0,2,21.2787,2,35.0933,2,201.481,2,1.355,1,4.6537,1,0.0269,1
118.0,2,21.1846,2,35.087,2,199.7907,2,1.3563,1,4.6554,1,0.0262,1
120.0,2,21.1148,2,35.083,2,198.7265,2,1.3574,1,4.6554,1,0.0256,1
122.0,2,21.0725,2,35.0758,2,198.5045,2,1.3587,1,4.6561,1,0.025,1
124.0,2,20.9263,2,35.059,2,197.1145,2,1.3607,1,4.6556,1,0.025,1
126.0,2,20.8507,2,35.0467,2,192.3205,2,1.3619,1,4.6564,1,0.0256,1
128.0,2,20.7898,2,35.0389,2,188.4793,2,1.3628,1,4.6569,1,0.0246,1
130.0,2,20.7421,2,35.0318,2,186.1742,2,1.364,1,4.6576,1,0.0249,1
132.0,2,20.6227,2,35.0204,2,184.9527,2,1.3646,1,4.6576,1,0.0245,1
134.0,2,20.5738,2,35.0278,2,183.7316,2,1.3652,1,4.659,1,0.0236,1
136.0,2,20.5337,2,35.0333,2,185.6939,2,1.3667,1,4.6594,1,0.0226,1
138.0,2,20.4426,2,35.0281,2,189.4189,2,1.3678,1,4.66,1,0.022,1
140.0,2,20.3058,2,35.0204,2,191.0371,2,1.3685,1,4.6606,1,0.021,1
142.0,2,20.2548,2,35.0152,2,192.2808,2,1.3706,1,4.661,1,0.021,1
144.0,2,20.2105,2,35.0157,2,192.5036,2,1.3717,1,4.6622,1,0.0211,1
146.0,2,20.1961,2,35.0183,2,192.8697,2,1.3717,1,4.6627,1,0.0215,1
148.0,2,20.1143,2,35.0135,2,193.532,2,1.3727,1,4.6628,1,0.0207,1
150.0,2,20.0569,2,35.0334,2,193.3741,2,1.3743,1,4.6635,1,0.0196,1
152.0,2,19.9863,2,35.0307,2,193.2558,2,1.3759,1,4.6642,1,0.0195,1
154.0,2,19.8778,2,35.0329,2,193.1598,2,1.3774,1,4.6624,1,0.0188,1
156.0,2,19.8211,2,35.0277,2,192.6501,2,1.3783,1,4.6598,1,0.0183,1
158.0,2,19.7231,2,35.0099,2,192.348,2,1.3789,1,4.6654,1,0.0183,1
160.0,2,19.6851,2,35.0039,2,191.8505,2,1.3798,1,4.6666,1,0.0183,1
162.0,2,19.5895,2,34.9899,2,191.6983,2,1.3808,1,4.6666,1,0.0183,1
164.0,2,19.4983,2,34.9768,2,191.5037,2,1.3821,1,4.6664,1,0.0183,1
166.0,2,19.4333,2,34.9648,2,191.1646,2,1.3839,1,4.6667,1,0.0183,1
168.0,2,19.3447,2,34.9505,2,190.4602,2,1.3855,1,4.6673,1,0.0183,1
170.0,2,19.2212,2,34.9342,2,190.1246,2,1.387,1,4.6676,1,0.0176,1
172.0,2,19.1651,2,34.9259,2,189.649,2,1.3886,1,4.6677,1,0.0184,1
174.0,2,19.1215,2,34.9176,2,189.0798,2,1.3897,1,4.6679,1,0.0183,1
176.0,2,18.9409,2,34.8936,2,189.5431,2,1.391,1,4.6683,1,0.0183,1
178.0,2,18.7798,2,34.8687,2,189.3912,2,1.3923,1,4.6685,1,0.0183,1
180.0,2,18.5915,2,34.8381,2,189.3517,2,1.3931,1,4.6686,1,0.0183,1
182.0,2,18.4517,2,34.8159,2,188.5128,2,1.3945,1,4.669,1,0.0175,1
184.0,2,18.3877,2,34.802,2,187.4846,2,1.3968,1,4.6691,1,0.0178,1
186.0,2,18.2023,2,34.7747,2,187.4797,2,1.399,1,4.6691,1,0.0174,1
188.0,2,18.0294,2,34.7507,2,186.8636,2,1.4009,1,4.6692,1,0.0181,1
190.0,2,17.7852,2,34.7167,2,186.6339,2,1.4023,1,4.6692,1,0.0171,1
192.0,2,17.6346,2,34.6928,2,186.7462,2,1.4036,1,4.6698,1,0.0171,1
194.0,2,17.4102,2,34.6621,2,186.0197,2,1.4058,1,4.67,1,0.0171,1
196.0,2,17.2466,2,34.641,2,185.3899,2,1.4085,1,4.6703,1,0.0171,1
198.0,2,17.1033,2,34.6188,2,185.6045,2,1.4111,1,4.6705,1,0.0177,1
200.0,2,16.9381,2,34.5962,2,185.7712,2,1.4131,1,4.6703,1,0.0171,1
202.0,2,16.7957,2,34.5793,2,185.9849,2,1.4148,1,4.671,1,0.0171,1
204.0,2,16.6801,2,34.5635,2,186.1111,2,1.4165,1,4.6715,1,0.0171,1
206.0,2,16.5802,2,34.5488,2,185.9246,2,1.4191,1,4.6716,1,0.0171,1
208.0,2,16.4516,2,34.5311,2,185.7612,2,1.4212,1,4.6719,1,0.0171,1
210.0,2,16.2774,2,34.5075,2,186.2815,2,1.4235,1,4.672,1,0.0171,1
212.0,2,16.1778,2,34.4929,2,186.2069,2,1.4259,1,4.6725,1,0.0166,1
214.0,2,16.1188,2,34.4827,2,186.0426,2,1.4277,1,4.6723,1,0.0171,1
216.0,2,15.8229,2,34.4421,2,186.774,2,1.4297,1,4.6719,1,0.0171,1
218.0,2,15.592,2,34.4153,2,186.2012,2,1.4333,1,4.6724,1,0.0166,1
220.0,2,15.509,2,34.4058,2,186.1697,2,1.4362,1,4.6723,1,0.0171,1
222.0,2,15.4588,2,34.3996,2,186.3842,2,1.4375,1,4.6728,1,0.0171,1
224.0,2,15.3974,2,34.3919,2,186.6032,2,1.4414,1,4.6731,1,0.0171,1
226.0,2,15.2449,2,34.3798,2,187.0728,2,1.4445,1,4.6723,1,0.0171,1
228.0,2,15.1943,2,34.3735,2,186.8237,2,1.4473,1,4.6731,1,0.0171,1
230.0,2,15.1327,2,34.3628,2,186.8797,2,1.4516,1,4.6733,1,0.0171,1
232.0,2,14.9813,2,34.348,2,187.2628,2,1.4547,1,4.673,1,0.0168,1
234.0,2,14.8455,2,34.334,2,187.3797,2,1.4579,1,4.6712,1,0.0166,1
236.0,2,14.7213,2,34.3177,2,187.2903,2,1.4602,1,4.6729,1,0.016,1
238.0,2,14.5528,2,34.3026,2,187.2697,2,1.4654,1,4.6737,1,0.0159,1
240.0,2,14.4182,2,34.283,2,187.2943,2,1.4699,1,4.6734,1,0.0165,1
242.0,2,14.2102,2,34.2589,2,187.3868,2,1.4736,1,4.6734,1,0.0159,1
244.0,2,14.0003,2,34.2349,2,187.57,2,1.4771,1,4.6739,1,0.0168,1
246.0,2,13.8262,2,34.2183,2,187.8287,2,1.48,1,4.6737,1,0.0165,1
248.0,2,13.6326,2,34.1992,2,188.165,2,1.483,1,4.6741,1,0.0166,1
250.0,2,13.5115,2,34.1942,2,188.2834,2,1.4875,1,4.6741,1,0.0162,1
252.0,2,13.3929,2,34.188,2,189.0565,2,1.4914,1,4.6741,1,0.0161,1
254.0,2,13.3095,2,34.1796,2,189.534,2,1.4954,1,4.674,1,0.0165,1
256.0,2,13.1705,2,34.1688,2,189.8219,2,1.4983,1,4.6729,1,0.0168,1
258.0,2,13.0991,2,34.1635,2,189.6592,2,1.5012,1,4.675,1,0.0171,1
260.0,2,13.0084,2,34.1539,2,189.5948,2,1.5055,1,4.6752,1,0.0171,1
262.0,2,12.9337,2,34.1454,2,189.5477,2,1.5107,1,4.6748,1,0.0165,1
264.0,2,12.8767,2,34.1408,2,189.2893,2,1.5136,1,4.6751,1,0.0164,1
266.0,2,12.837,2,34.1366,2,189.2073,2,1.5172,1,4.6752,1,0.0171,1
268.0,2,12.7829,2,34.1303,2,189.1821,2,1.5208,1,4.6752,1,0.0171,1
270.0,2,12.5818,2,34.1123,2,189.3013,2,1.5246,1,4.6742,1,0.0166,1
272.0,2,12.5225,2,34.1049,2,188.3304,2,1.5289,1,4.6752,1,0.017,1
274.0,2,12.482,2,34.1004,2,187.6088,2,1.5323,1,4.6751,1,0.0164,1
276.0,2,12.4035,2,34.0931,2,187.3974,2,1.5351,1,4.6752,1,0.017,1
278.0,2,12.2788,2,34.0817,2,187.2293,2,1.5398,1,4.6753,1,0.0164,1
280.0,2,12.1745,2,34.0727,2,186.5992,2,1.544,1,4.6754,1,0.0159,1
282.0,2,12.1188,2,34.0648,2,185.8105,2,1.5478,1,4.6758,1,0.0164,1
284.0,2,12.037,2,34.0565,2,185.3986,2,1.5514,1,4.6749,1,0.0164,1
286.0,2,12.0194,2,34.0607,2,184.6852,2,1.5543,1,4.676,1,0.0163,1
288.0,2,11.9207,2,34.0549,2,184.5716,2,1.5579,1,4.6761,1,0.0171,1
290.0,2,11.8482,2,34.0539,2,184.0166,2,1.563,1,4.6764,1,0.0171,1
292.0,2,11.7847,2,34.0503,2,183.8457,2,1.5659,1,4.6764,1,0.017,1
294.0,2,11.7104,2,34.0468,2,183.7411,2,1.5687,1,4.6764,1,0.0164,1
296.0,2,11.6569,2,34.0452,2,183.2001,2,1.5727,1,4.6763,1,0.0171,1
298.0,2,11.6141,2,34.0426,2,182.6024,2,1.5765,1,4.6765,1,0.0171,1
300.0,2,11.5666,2,34.0421,2,182.3581,2,1.5786,1,4.6765,1,0.0169,1
302.0,2,11.5475,2,34.0427,2,182.2212,2,1.581,1,4.6765,1,0.0159,1
304.0,2,11.5449,2,34.0415,2,181.7449,2,1.5861,1,4.6765,1,0.0165,1
306.0,2,11.4322,2,34.0405,2,181.9796,2,1.5889,1,4.6767,1,0.0162,1
308.0,2,11.3094,2,34.0425,2,181.8396,2,1.5899,1,4.6772,1,0.0171,1
310.0,2,11.2081,2,34.0501,2,181.0025,2,1.594,1,4.6766,1,0.0171,1
312.0,2,11.1942,2,34.051,2,179.752,2,1.5963,1,4.6774,1,0.0165,1
314.0,2,11.1527,2,34.0548,2,179.3446,2,1.5976,1,4.6776,1,0.0171,1
316.0,2,11.1196,2,34.052,2,179.6186,2,1.6004,1,4.6776,1,0.0171,1
318.0,2,11.0994,2,34.0525,2,179.6391,2,1.6038,1,4.6777,1,0.0171,1
320.0,2,11.0868,2,34.0528,2,179.1383,2,1.6063,1,4.6777,1,0.0166,1
322.0,2,11.0616,2,34.0524,2,178.9101,2,1.6088,1,4.6779,1,0.0171,1
324.0,2,10.9747,2,34.0497,2,179.107,2,1.6098,1,4.6754,1,0.0166,1
326.0,2,10.9039,2,34.0471,2,179.4006,2,1.6116,1,4.674,1,0.0165,1
