CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 4
CASTNO = 8
DATE = 20180929
TIME = 0706
LATITUDE = 54.6600
LONGITUDE = -155.1706
INSTRUMENT_ID = 1281
DEPTH = 5716
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,12.4215,2,32.4364,2,268.5586,2,1.4884,1,4.4508,1,0.0942,1
2.0,2,12.4215,2,32.4347,2,268.4956,2,1.4889,1,4.4433,1,0.095,1
4.0,2,12.422,2,32.4359,2,268.6599,2,1.4863,1,4.4579,1,0.0983,1
6.0,2,12.4223,2,32.4355,2,268.3621,2,1.4833,1,4.4677,1,0.0945,1
8.0,2,12.4214,2,32.4361,2,268.6998,2,1.4819,1,4.4749,1,0.0996,1
10.0,2,12.4217,2,32.4363,2,268.4683,2,1.4751,1,4.4764,1,0.1023,1
12.0,2,12.4176,2,32.4366,2,269.0876,2,1.4718,1,4.4785,1,0.1017,1
14.0,2,12.4106,2,32.4373,2,268.6161,2,1.4714,1,4.4821,1,0.0952,1
16.0,2,12.4103,2,32.4371,2,268.6823,2,1.4696,1,4.4825,1,0.0983,1
18.0,2,12.4072,2,32.4372,2,268.5799,2,1.468,1,4.4828,1,0.0998,1
20.0,2,12.411,2,32.437,2,268.8137,2,1.467,1,4.483,1,0.0959,1
22.0,2,12.4103,2,32.4369,2,269.1066,2,1.4665,1,4.4826,1,0.096,1
24.0,2,12.4091,2,32.4362,2,268.4137,2,1.4646,1,4.4835,1,0.0933,1
26.0,2,12.4062,2,32.4374,2,268.0321,2,1.4648,1,4.482,1,0.0907,1
28.0,2,12.404,2,32.4375,2,268.0608,2,1.4647,1,4.4812,1,0.0935,1
30.0,2,12.4049,2,32.4375,2,268.7947,2,1.4628,1,4.4834,1,0.093,1
32.0,2,12.3986,2,32.4374,2,268.9522,2,1.4631,1,4.4835,1,0.0933,1
34.0,2,12.381,2,32.4385,2,268.8531,2,1.4623,1,4.4818,1,0.0939,1
36.0,2,12.3634,2,32.4396,2,269.2011,2,1.4621,1,4.4821,1,0.0962,1
38.0,2,12.3224,2,32.4422,2,268.2443,2,1.4621,1,4.4839,1,0.0952,1
40.0,2,12.3036,2,32.441,2,268.4483,2,1.4612,1,4.4838,1,0.0962,1
42.0,2,10.8669,2,32.5121,2,258.7803,2,1.4609,1,4.5056,1,0.086,1
44.0,2,9.5991,2,32.623,2,256.8046,2,1.4606,1,4.5821,1,0.057,1
46.0,2,7.4161,2,32.7585,2,256.478,2,1.46,1,4.6033,1,0.052,1
48.0,2,7.2783,2,32.748,2,280.0597,2,1.462,1,4.6124,1,0.0511,1
50.0,2,7.3576,2,32.7132,2,283.6805,2,1.4654,1,4.6145,1,0.0509,1
52.0,2,6.4547,2,32.7633,2,286.6104,2,1.4688,1,4.6226,1,0.0495,1
54.0,2,6.3678,2,32.7621,2,289.3002,2,1.4736,1,4.6306,1,0.0469,1
56.0,2,5.5896,2,32.8152,2,290.1439,2,1.4777,1,4.637,1,0.0446,1
58.0,2,5.491,2,32.8186,2,293.0896,2,1.484,1,4.6483,1,0.0392,1
60.0,2,5.1949,2,32.8471,2,289.9277,2,1.4908,1,4.6528,1,0.0382,1
62.0,2,5.1221,2,32.8531,2,291.2732,2,1.4956,1,4.6563,1,0.0381,1
64.0,2,5.0081,2,32.8679,2,291.8027,2,1.4992,1,4.6589,1,0.0358,1
66.0,2,4.8553,2,32.8956,2,289.9853,2,1.5117,1,4.6628,1,0.0321,1
68.0,2,4.7921,2,32.9023,2,288.867,2,1.5376,1,4.6654,1,0.0293,1
70.0,2,4.68,2,32.9264,2,287.2843,2,1.5495,1,4.6671,1,0.0278,1
72.0,2,4.8205,2,32.8905,2,291.3077,2,1.5657,1,4.6671,1,0.028,1
74.0,2,4.541,2,32.9528,2,289.0605,2,1.569,1,4.67,1,0.0267,1
76.0,2,4.4707,2,32.9719,2,281.0887,2,1.5764,1,4.6731,1,0.0256,1
78.0,2,4.4075,2,32.9894,2,277.3343,2,1.5791,1,4.6744,1,0.0248,1
80.0,2,4.3733,2,33.0061,2,274.2729,2,1.5824,1,4.6761,1,0.0247,1
82.0,2,4.3005,2,33.0575,2,273.5687,2,1.5877,1,4.6781,1,0.0246,1
84.0,2,4.2635,2,33.1005,2,253.3955,2,1.5933,1,4.6773,1,0.0226,1
86.0,2,4.2562,2,33.1132,2,265.2423,2,1.5969,1,4.6791,1,0.0228,1
88.0,2,4.2411,2,33.1388,2,256.769,2,1.5975,1,4.6803,1,0.021,1
90.0,2,4.234,2,33.1643,2,244.4477,2,1.5991,1,4.6812,1,0.0198,1
92.0,2,4.2442,2,33.1541,2,237.725,2,1.6066,1,4.6826,1,0.0213,1
94.0,2,4.2379,2,33.1721,2,237.2738,2,1.6104,1,4.6827,1,0.0205,1
96.0,2,4.2019,2,33.2403,2,220.8373,2,1.6111,1,4.6834,1,0.021,1
98.0,2,4.1944,2,33.264,2,223.7574,2,1.6117,1,4.6836,1,0.0204,1
100.0,2,4.1832,2,33.313,2,212.7567,2,1.6121,1,4.6835,1,0.0195,1
102.0,2,4.1837,2,33.3365,2,196.1985,2,1.613,1,4.6832,1,0.0197,1
104.0,2,4.2178,2,33.3666,2,195.9097,2,1.6142,1,4.6839,1,0.0197,1
106.0,2,4.2356,2,33.4127,2,180.4992,2,1.6148,1,4.6854,1,0.0195,1
108.0,2,4.2364,2,33.4318,2,168.4212,2,1.6152,1,4.6855,1,0.0195,1
110.0,2,4.2228,2,33.4724,2,171.0256,2,1.6155,1,4.6827,1,0.0195,1
