CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 17
CASTNO = 2
DATE = 20181018
TIME = 0759
LATITUDE = 24.4999
LONGITUDE = -152.0003
INSTRUMENT_ID = 1281
DEPTH = 5346
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,25.8763,2,34.7294,2,190.8544,2,4.6598,1,0.0021,1,-999,9
2.0,2,25.891,2,34.7439,2,191.242,2,4.6599,1,0.002,1,-999,9
4.0,2,25.8938,2,34.7458,2,191.1843,2,4.6602,1,0.0019,1,-999,9
6.0,2,25.8946,2,34.7468,2,191.3151,2,4.6578,1,0.0018,1,-999,9
8.0,2,25.8931,2,34.7461,2,190.7566,2,4.6607,1,0.0019,1,-999,9
10.0,2,25.8938,2,34.7463,2,190.731,2,4.6564,1,0.0019,1,-999,9
12.0,2,25.8935,2,34.7464,2,190.7388,2,4.6611,1,0.002,1,-999,9
14.0,2,25.8931,2,34.7468,2,190.7344,2,4.6609,1,0.0018,1,-999,9
16.0,2,25.893,2,34.7468,2,190.5381,2,4.6602,1,0.0021,1,-999,9
18.0,2,25.8911,2,34.7467,2,190.6889,2,4.66,1,0.0018,1,-999,9
20.0,2,25.8848,2,34.7472,2,190.8297,2,4.6594,1,0.0023,1,-999,9
22.0,2,25.883,2,34.7475,2,190.7484,2,4.6588,1,0.0023,1,-999,9
24.0,2,25.8818,2,34.7482,2,190.7856,2,4.6596,1,0.0023,1,-999,9
26.0,2,25.8817,2,34.7482,2,190.9624,2,4.6587,1,0.0024,1,-999,9
28.0,2,25.8807,2,34.7484,2,190.8676,2,4.6582,1,0.0023,1,-999,9
30.0,2,25.8796,2,34.7493,2,190.9667,2,4.6589,1,0.0023,1,-999,9
32.0,2,25.8774,2,34.7493,2,191.0023,2,4.6576,1,0.0023,1,-999,9
34.0,2,25.8759,2,34.7507,2,191.0654,2,4.6578,1,0.0024,1,-999,9
36.0,2,25.8756,2,34.7508,2,190.7303,2,4.6583,1,0.0024,1,-999,9
38.0,2,25.8729,2,34.7505,2,190.9443,2,4.6586,1,0.0024,1,-999,9
40.0,2,25.867,2,34.7503,2,190.7038,2,4.6577,1,0.0025,1,-999,9
