CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 38
CASTNO = 2
DATE = 20181120
TIME = 1700
LATITUDE = -17.4999
LONGITUDE = -152.0004
INSTRUMENT_ID = 1281
DEPTH = 4117
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,28.3106,6,36.1782,6,194.7803,6,4.6751,6,0.0012,6,-999,9
2.0,2,28.3106,6,36.1782,6,194.7803,6,4.6751,6,0.0012,6,-999,9
4.0,2,28.3106,6,36.1782,6,194.7803,6,4.6751,6,0.0012,6,-999,9
6.0,2,28.3106,6,36.1782,6,194.7803,6,4.6751,6,0.0012,6,-999,9
8.0,2,28.3106,2,36.1782,2,194.7803,2,4.6751,1,0.0012,1,-999,9
10.0,2,28.2924,2,36.1825,2,195.359,2,4.6745,1,0.0012,1,-999,9
12.0,2,28.2854,2,36.182,2,195.1792,2,4.6747,1,0.0012,1,-999,9
14.0,2,28.2407,2,36.187,2,194.5323,2,4.6746,1,0.0012,1,-999,9
16.0,2,28.23,2,36.188,2,196.1232,2,4.6742,1,0.0012,1,-999,9
18.0,2,28.2151,2,36.1908,2,194.9304,2,4.6749,1,0.0012,1,-999,9
20.0,2,28.1741,2,36.1992,2,195.382,2,4.6747,1,0.0012,1,-999,9
22.0,2,28.1111,2,36.2066,2,195.5228,2,4.6734,1,0.0012,1,-999,9
24.0,2,28.0391,2,36.2244,2,196.0309,2,4.6715,1,0.0012,1,-999,9
26.0,2,28.0228,2,36.2315,2,195.9306,2,4.6728,1,0.0012,1,-999,9
28.0,2,28.0139,2,36.2338,2,196.098,2,4.673,1,0.0012,1,-999,9
30.0,2,28.0118,2,36.2417,2,196.4516,2,4.6728,1,0.0012,1,-999,9
32.0,2,28.012,2,36.2485,2,195.8167,2,4.6717,1,0.0012,1,-999,9
34.0,2,28.0103,2,36.262,2,196.4039,2,4.672,1,0.0012,1,-999,9
36.0,2,28.0063,2,36.2664,2,196.5602,2,4.6709,1,0.0012,1,-999,9
38.0,2,28.0064,2,36.2694,2,196.1505,2,4.6711,1,0.0012,1,-999,9
40.0,2,28.0063,2,36.2713,2,196.5313,2,4.6718,1,0.0012,1,-999,9
42.0,2,28.0031,2,36.2753,2,197.0657,2,4.6716,1,0.0012,1,-999,9
44.0,2,27.9931,2,36.284,2,196.9137,2,4.6718,1,0.0013,1,-999,9
46.0,2,27.9844,2,36.2912,2,197.0489,2,4.6716,1,0.0012,1,-999,9
48.0,2,27.9743,2,36.3027,2,197.135,2,4.6715,1,0.0012,1,-999,9
50.0,2,27.9716,2,36.3171,2,196.5953,2,4.6718,1,0.0012,1,-999,9
52.0,2,27.9629,2,36.3217,2,197.0206,2,4.6704,1,0.0013,1,-999,9
54.0,2,27.958,2,36.3228,2,196.9042,2,4.6713,1,0.0014,1,-999,9
56.0,2,27.9426,2,36.3235,2,197.248,2,4.664,1,0.0014,1,-999,9
58.0,2,27.9236,2,36.3212,2,197.1977,2,4.6719,1,0.0013,1,-999,9
60.0,2,27.8944,2,36.3165,2,197.2723,2,4.6735,1,0.0014,1,-999,9
62.0,2,27.8262,2,36.3076,2,198.0531,2,4.6723,1,0.0014,1,-999,9
