CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 39
CASTNO = 2
DATE = 20181121
TIME = 0947
LATITUDE = -19.9997
LONGITUDE = -152.0001
INSTRUMENT_ID = 1281
DEPTH = 4336
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,26.9202,2,36.1363,2,198.1879,2,4.677,1,0.002,1,-999,9
2.0,2,26.9263,2,36.1365,2,198.6964,2,4.6775,1,0.0014,1,-999,9
4.0,2,26.9312,2,36.1355,2,198.9647,2,4.6806,1,0.0012,1,-999,9
6.0,2,26.9308,2,36.1357,2,198.676,2,4.6809,1,0.0012,1,-999,9
8.0,2,26.9366,2,36.1355,2,198.9313,2,4.6806,1,0.0012,1,-999,9
10.0,2,26.9347,2,36.1358,2,199.514,2,4.6795,1,0.0012,1,-999,9
12.0,2,26.9339,2,36.1359,2,199.0811,2,4.6807,1,0.0012,1,-999,9
14.0,2,26.9371,2,36.1358,2,199.2418,2,4.6807,1,0.0012,1,-999,9
16.0,2,26.9377,2,36.1358,2,199.0262,2,4.6808,1,0.0012,1,-999,9
18.0,2,26.9363,2,36.1361,2,198.9548,2,4.6809,1,0.0012,1,-999,9
20.0,2,26.9369,2,36.1361,2,199.4529,2,4.6809,1,0.0012,1,-999,9
22.0,2,26.9379,2,36.136,2,199.3872,2,4.6807,1,0.0012,1,-999,9
24.0,2,26.9386,2,36.1359,2,199.3831,2,4.6802,1,0.0012,1,-999,9
26.0,2,26.9386,2,36.1361,2,199.371,2,4.6806,1,0.0012,1,-999,9
28.0,2,26.9408,2,36.1359,2,198.6566,2,4.6803,1,0.0012,1,-999,9
30.0,2,26.9407,2,36.136,2,199.2129,2,4.6809,1,0.0012,1,-999,9
32.0,2,26.9267,2,36.1461,2,199.4259,2,4.6805,1,0.0013,1,-999,9
34.0,2,26.8768,2,36.1725,2,198.6202,2,4.6778,1,0.0012,1,-999,9
36.0,2,26.7958,2,36.1764,2,200.4867,2,4.6768,1,0.0013,1,-999,9
38.0,2,26.7025,2,36.1776,2,200.3253,2,4.6764,1,0.0013,1,-999,9
40.0,2,26.5526,2,36.1756,2,202.4588,2,4.675,1,0.0014,1,-999,9
42.0,2,26.4228,2,36.1708,2,202.3438,2,4.6728,1,0.0015,1,-999,9
44.0,2,26.3819,2,36.1662,2,202.9889,2,4.673,1,0.0019,1,-999,9
46.0,2,26.3655,2,36.1642,2,202.5913,2,4.6726,1,0.0014,1,-999,9
48.0,2,26.3498,2,36.1625,2,203.5759,2,4.6739,1,0.0016,1,-999,9
50.0,2,26.321,2,36.1602,2,203.3638,2,4.6734,1,0.0016,1,-999,9
52.0,2,26.3067,2,36.159,2,203.2117,2,4.6733,1,0.0015,1,-999,9
54.0,2,26.2126,2,36.1486,2,204.2158,2,4.6733,1,0.0017,1,-999,9
56.0,2,26.0419,2,36.1243,2,204.1625,2,4.6728,1,0.002,1,-999,9
58.0,2,25.8956,2,36.0939,2,204.9644,2,4.6729,1,0.0016,1,-999,9
60.0,2,25.6743,2,36.0497,2,205.9567,2,4.6741,1,0.0013,1,-999,9
62.0,2,25.4324,2,35.9993,2,206.6847,2,4.6741,1,0.0016,1,-999,9
64.0,2,25.2999,2,35.9644,2,206.3123,2,4.6754,1,0.0019,1,-999,9
66.0,2,25.176,2,35.9286,2,207.1444,2,4.6761,1,0.0017,1,-999,9
