CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 39
CASTNO = 3
DATE = 20181121
TIME = 0939
LATITUDE = -19.9998
LONGITUDE = -152.0001
INSTRUMENT_ID = 1281
DEPTH = 4336
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,26.9355,2,36.1394,2,198.606,2,1.3011,1,4.6226,1,0.0171,1
2.0,2,26.9363,2,36.1393,2,198.3683,2,1.3004,1,4.6221,1,0.0168,1
4.0,2,26.9373,2,36.1392,2,198.3532,2,1.2964,1,4.6217,1,0.0171,1
6.0,2,26.9394,2,36.139,2,198.1472,2,1.2936,1,4.6215,1,0.0171,1
8.0,2,26.9385,2,36.1391,2,197.8091,2,1.2924,1,4.6217,1,0.017,1
10.0,2,26.9375,2,36.1393,2,198.1925,2,1.2914,1,4.6215,1,0.0168,1
12.0,2,26.9374,2,36.1393,2,198.0871,2,1.2912,1,4.6211,1,0.0171,1
14.0,2,26.9367,2,36.1395,2,198.6384,2,1.2914,1,4.6215,1,0.0171,1
16.0,2,26.9374,2,36.1394,2,198.5661,2,1.2918,1,4.6217,1,0.0171,1
18.0,2,26.9371,2,36.1394,2,198.4579,2,1.2918,1,4.6216,1,0.0175,1
20.0,2,26.9369,2,36.1392,2,198.3952,2,1.2919,1,4.6213,1,0.0171,1
22.0,2,26.9377,2,36.1391,2,198.4216,2,1.2926,1,4.6213,1,0.0171,1
24.0,2,26.9387,2,36.1389,2,198.7808,2,1.2942,1,4.6208,1,0.0171,1
26.0,2,26.9389,2,36.139,2,198.5136,2,1.2952,1,4.6219,1,0.0171,1
28.0,2,26.9394,2,36.1389,2,198.3863,2,1.2968,1,4.6214,1,0.0171,1
30.0,2,26.9402,2,36.139,2,198.8246,2,1.2982,1,4.621,1,0.0171,1
32.0,2,26.9403,2,36.139,2,198.7958,2,1.2995,1,4.6212,1,0.0171,1
34.0,2,26.9405,2,36.1389,2,198.5697,2,1.3001,1,4.6215,1,0.0171,1
36.0,2,26.9354,2,36.1401,2,198.5033,2,1.3009,1,4.6215,1,0.0171,1
38.0,2,26.8835,2,36.1509,2,198.99,2,1.3016,1,4.6199,1,0.0172,1
40.0,2,26.8199,2,36.1657,2,199.8463,2,1.3022,1,4.617,1,0.0178,1
42.0,2,26.7068,2,36.1783,2,200.669,2,1.3023,1,4.6181,1,0.0171,1
44.0,2,26.6421,2,36.1771,2,201.3378,2,1.3023,1,4.6175,1,0.0174,1
46.0,2,26.5799,2,36.1762,2,202.367,2,1.3024,1,4.6161,1,0.0177,1
48.0,2,26.3658,2,36.1676,2,203.6106,2,1.3023,1,4.6156,1,0.0183,1
50.0,2,26.3104,2,36.1626,2,203.9988,2,1.3029,1,4.6157,1,0.0185,1
52.0,2,26.239,2,36.1562,2,203.9411,2,1.3035,1,4.6155,1,0.0184,1
54.0,2,26.1777,2,36.149,2,204.5162,2,1.3043,1,4.6163,1,0.0185,1
56.0,2,26.1005,2,36.141,2,204.9858,2,1.3035,1,4.6155,1,0.0184,1
58.0,2,26.0205,2,36.1297,2,205.124,2,1.3034,1,4.6149,1,0.0184,1
60.0,2,25.9468,2,36.1184,2,205.4499,2,1.3032,1,4.6154,1,0.0184,1
62.0,2,25.7904,2,36.0806,2,205.9458,2,1.3034,1,4.6158,1,0.0184,1
