CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 20
CASTNO = 3
DATE = 20181029
TIME = 0114
LATITUDE = 14.2516
LONGITUDE = -152.0002
INSTRUMENT_ID = 1281
DEPTH = 5887
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,28.14,2,33.8493,2,194.8639,2,1.421,1,4.6295,1,0.0193,1
2.0,2,28.1369,2,33.8495,2,195.3537,2,1.4206,1,4.6301,1,0.0185,1
4.0,2,28.1352,2,33.8496,2,194.9032,2,1.4206,1,4.6304,1,0.0184,1
6.0,2,28.138,2,33.8494,2,195.7247,2,1.4204,1,4.63,1,0.0183,1
8.0,2,28.1379,2,33.8493,2,195.6239,2,1.4199,1,4.6303,1,0.0184,1
10.0,2,28.1408,2,33.8493,2,195.9726,2,1.4194,1,4.6301,1,0.0183,1
12.0,2,28.1425,2,33.8496,2,196.382,2,1.4187,1,4.6301,1,0.019,1
14.0,2,28.1406,2,33.8491,2,196.787,2,1.4175,1,4.6302,1,0.0184,1
16.0,2,28.1397,2,33.849,2,196.5194,2,1.4162,1,4.6297,1,0.0184,1
18.0,2,28.1418,2,33.8493,2,196.4489,2,1.4145,1,4.6295,1,0.0186,1
20.0,2,28.1393,2,33.849,2,196.9444,2,1.4108,1,4.6298,1,0.0184,1
22.0,2,28.141,2,33.8496,2,197.1168,2,1.4066,1,4.6303,1,0.0184,1
24.0,2,28.1444,2,33.85,2,197.7455,2,1.4005,1,4.6295,1,0.0184,1
26.0,2,28.1478,2,33.8556,2,198.0348,2,1.3916,1,4.6299,1,0.0189,1
28.0,2,28.1506,2,33.8612,2,198.2692,2,1.3794,1,4.6298,1,0.0184,1
30.0,2,28.1521,2,33.8678,2,198.3331,2,1.3698,1,4.6302,1,0.0193,1
32.0,2,28.1516,2,33.876,2,198.8575,2,1.3598,1,4.6293,1,0.0192,1
34.0,2,28.1229,2,33.9321,2,199.1862,2,1.3477,1,4.628,1,0.0198,1
36.0,2,27.5596,2,34.258,2,201.4818,2,1.3409,1,4.6169,1,0.0216,1
38.0,2,27.1473,2,34.3338,2,209.4971,2,1.3341,1,4.6121,1,0.0224,1
40.0,2,26.3797,2,34.3668,2,212.1838,2,1.3275,1,4.6059,1,0.0234,1
42.0,2,25.0905,2,34.4234,2,213.2459,2,1.3234,1,4.6091,1,0.0263,1
44.0,2,24.7906,2,34.42,2,214.5415,2,1.321,1,4.6112,1,0.0257,1
46.0,2,24.4234,2,34.4375,2,216.1292,2,1.3202,1,4.6131,1,0.0268,1
48.0,2,24.0277,2,34.4949,2,216.9154,2,1.3216,1,4.6151,1,0.0271,1
50.0,2,23.9303,2,34.7489,2,214.9094,2,1.3235,1,4.6209,1,0.0268,1
52.0,2,23.8196,2,34.7234,2,219.0053,2,1.3267,1,4.6209,1,0.0268,1
54.0,2,23.0065,2,34.6074,2,216.0182,2,1.3294,1,4.6147,1,0.035,1
56.0,2,22.3974,2,34.6235,2,211.4437,2,1.3304,1,4.6094,1,0.0399,1
58.0,2,22.0732,2,34.6778,2,206.9695,2,1.3308,1,4.6057,1,0.0498,1
60.0,2,22.1336,2,34.7525,2,207.2987,2,1.3321,1,4.613,1,0.0387,1
62.0,2,22.1889,2,34.9122,2,207.7409,2,1.3334,1,4.6166,1,0.0395,1
64.0,2,22.1741,2,34.9551,2,211.1458,2,1.3351,1,4.6211,1,0.0354,1
66.0,2,22.1247,2,34.9631,2,212.2649,2,1.3377,1,4.6222,1,0.0335,1
68.0,2,22.0134,2,35.0064,2,212.1838,2,1.3405,1,4.6238,1,0.034,1
70.0,2,21.9868,2,35.0096,2,210.7432,2,1.3424,1,4.623,1,0.0331,1
72.0,2,21.9455,2,34.9989,2,210.6361,2,1.3439,1,4.6231,1,0.034,1
74.0,2,21.8025,2,34.9769,2,210.7515,2,1.3449,1,4.6228,1,0.0349,1
76.0,2,21.5074,2,34.9611,2,207.6491,2,1.3462,1,4.6245,1,0.039,1
78.0,2,21.36,2,34.9949,2,205.7569,2,1.3478,1,4.628,1,0.0368,1
80.0,2,21.1984,2,35.0026,2,204.2848,2,1.3487,1,4.6301,1,0.0351,1
82.0,2,21.0442,2,34.9888,2,201.1829,2,1.3503,1,4.6325,1,0.0376,1
84.0,2,20.8972,2,34.9851,2,199.4575,2,1.3517,1,4.6299,1,0.0401,1
86.0,2,20.7676,2,34.9876,2,198.4536,2,1.3536,1,4.6272,1,0.0449,1
88.0,2,20.693,2,34.9808,2,197.15,2,1.3558,1,4.6267,1,0.0448,1
90.0,2,20.3928,2,34.9514,2,196.8458,2,1.3576,1,4.6281,1,0.0474,1
92.0,2,20.3379,2,34.942,2,196.4332,2,1.3598,1,4.6305,1,0.0449,1
94.0,2,19.9411,2,34.8985,2,195.3413,2,1.3622,1,4.6316,1,0.0453,1
96.0,2,19.5352,2,34.8548,2,192.1667,2,1.3638,1,4.6333,1,0.0413,1
98.0,2,19.193,2,34.8129,2,188.9198,2,1.3667,1,4.6365,1,0.0381,1
100.0,2,18.6394,2,34.7541,2,187.3845,2,1.3695,1,4.6374,1,0.0366,1
102.0,2,18.5311,2,34.7353,2,182.0819,2,1.3766,1,4.6388,1,0.0357,1
104.0,2,18.1219,2,34.6877,2,179.1719,2,1.3887,1,4.6413,1,0.0354,1
106.0,2,17.9786,2,34.6636,2,176.9858,2,1.3908,1,4.6418,1,0.0359,1
108.0,2,17.6965,2,34.6325,2,176.5302,2,1.3926,1,4.6431,1,0.0347,1
110.0,2,17.3703,2,34.6032,2,174.942,2,1.3939,1,4.6444,1,0.0338,1
112.0,2,17.1256,2,34.5718,2,172.3937,2,1.3967,1,4.645,1,0.0346,1
114.0,2,16.9178,2,34.5396,2,170.0762,2,1.3999,1,4.6455,1,0.0355,1
116.0,2,16.47,2,34.4905,2,168.8764,2,1.4034,1,4.6462,1,0.0325,1
118.0,2,16.1106,2,34.4475,2,167.4473,2,1.4071,1,4.6463,1,0.0315,1
120.0,2,15.9105,2,34.4241,2,160.9296,2,1.4126,1,4.6471,1,0.0325,1
122.0,2,15.4504,2,34.3849,2,156.6158,2,1.4166,1,4.6483,1,0.0323,1
124.0,2,15.2825,2,34.369,2,153.6572,2,1.4219,1,4.6493,1,0.0308,1
126.0,2,15.2147,2,34.3545,2,149.967,2,1.4267,1,4.6486,1,0.0316,1
128.0,2,14.6852,2,34.307,2,148.0822,2,1.4304,1,4.6499,1,0.03,1
130.0,2,14.0003,2,34.2609,2,145.5777,2,1.4347,1,4.6507,1,0.0288,1
132.0,2,13.7296,2,34.2359,2,138.9961,2,1.4395,1,4.6503,1,0.0294,1
134.0,2,13.4635,2,34.2181,2,129.6711,2,1.4435,1,4.6496,1,0.0302,1
136.0,2,13.1859,2,34.2161,2,122.4611,2,1.4474,1,4.6496,1,0.0305,1
138.0,2,12.7542,2,34.225,2,117.9301,2,1.4509,1,4.6498,1,0.0281,1
140.0,2,12.5913,2,34.2175,2,106.9862,2,1.4564,1,4.6511,1,0.0274,1
142.0,2,12.4669,2,34.2185,2,98.6763,2,1.4621,1,4.652,1,0.0262,1
144.0,2,12.3301,2,34.2507,2,97.6223,2,1.4654,1,4.6513,1,0.0257,1
146.0,2,12.0704,2,34.2268,2,95.0595,2,1.4705,1,4.6529,1,0.0249,1
148.0,2,11.9487,2,34.2428,2,90.1837,2,1.4771,1,4.6545,1,0.0238,1
150.0,2,11.8711,2,34.2457,2,90.7646,2,1.4823,1,4.6553,1,0.0232,1
152.0,2,11.7968,2,34.2486,2,89.0153,2,1.4898,1,4.6555,1,0.0233,1
154.0,2,11.7175,2,34.2667,2,88.0224,2,1.4965,1,4.6549,1,0.0232,1
156.0,2,11.6465,2,34.2799,2,87.4354,2,1.5016,1,4.6554,1,0.0221,1
158.0,2,11.5977,2,34.2835,2,84.3184,2,1.5089,1,4.6557,1,0.0225,1
