CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 3
CASTNO = 6
DATE = 20180928
TIME = 0123
LATITUDE = 55.0803
LONGITUDE = -155.7201
INSTRUMENT_ID = 1281
DEPTH = 1628
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,13.167,2,32.2503,2,264.3463,2,1.4444,1,4.4512,1,0.1067,1
2.0,2,13.1673,2,32.2502,2,264.749,2,1.4486,1,4.4488,1,0.1082,1
4.0,2,13.1685,2,32.2502,2,264.3955,2,1.4505,1,4.449,1,0.1085,1
6.0,2,13.168,2,32.2498,2,264.6338,2,1.4448,1,4.451,1,0.1117,1
8.0,2,13.1678,2,32.2497,2,264.5705,2,1.4448,1,4.4513,1,0.1112,1
10.0,2,13.168,2,32.25,2,263.9787,2,1.4448,1,4.4514,1,0.1127,1
12.0,2,13.1681,2,32.2499,2,264.4225,2,1.445,1,4.4513,1,0.1137,1
14.0,2,13.1682,2,32.2498,2,264.7766,2,1.4447,1,4.4515,1,0.109,1
16.0,2,13.1685,2,32.2499,2,264.5635,2,1.4448,1,4.4509,1,0.1102,1
18.0,2,13.169,2,32.2499,2,265.0497,2,1.4446,1,4.4522,1,0.1087,1
20.0,2,13.1693,2,32.2499,2,264.3432,2,1.4445,1,4.4523,1,0.1101,1
22.0,2,13.1694,2,32.25,2,264.9168,2,1.4443,1,4.4517,1,0.1093,1
24.0,2,13.1693,2,32.25,2,264.5595,2,1.4441,1,4.4501,1,0.1099,1
26.0,2,13.1696,2,32.25,2,264.5604,2,1.4438,1,4.4518,1,0.108,1
28.0,2,13.1357,2,32.2728,2,264.8878,2,1.4438,1,4.4549,1,0.1067,1
30.0,2,13.0327,2,32.363,2,265.6534,2,1.4435,1,4.4706,1,0.0961,1
32.0,2,12.9311,2,32.3861,2,265.7396,2,1.4436,1,4.4919,1,0.0905,1
34.0,2,12.8279,2,32.3895,2,267.8635,2,1.4435,1,4.5108,1,0.0831,1
36.0,2,12.2056,2,32.4363,2,269.4851,2,1.4437,1,4.532,1,0.076,1
38.0,2,11.6951,2,32.4771,2,276.6436,2,1.4433,1,4.5586,1,0.0643,1
40.0,2,10.8361,2,32.5573,2,279.0726,2,1.4438,1,4.5779,1,0.0552,1
42.0,2,9.6266,2,32.6198,2,288.2581,2,1.4448,1,4.5954,1,0.0501,1
44.0,2,9.4215,2,32.6385,2,301.7349,2,1.4463,1,4.6052,1,0.0467,1
46.0,2,8.0011,2,32.6965,2,295.6378,2,1.45,1,4.6129,1,0.0457,1
48.0,2,7.3109,2,32.732,2,303.4077,2,1.4514,1,4.6222,1,0.0441,1
50.0,2,7.2502,2,32.7263,2,314.8614,2,1.4549,1,4.6251,1,0.0417,1
52.0,2,7.0183,2,32.7166,2,308.5096,2,1.4633,1,4.6266,1,0.0414,1
