CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 183
CASTNO = 2
DATE = 20181021
TIME = 0803
LATITUDE = 19.6808
LONGITUDE = -154.5132
INSTRUMENT_ID = 1281
DEPTH = 2183
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,27.1283,2,34.5875,2,201.1298,2,1.3968,1,4.6326,1,0.0193,1
2.0,2,27.129,2,34.5859,2,201.4319,2,1.3947,1,4.634,1,0.0192,1
4.0,2,27.1314,2,34.5854,2,201.0018,2,1.3915,1,4.6341,1,0.0187,1
6.0,2,27.1192,2,34.581,2,201.3119,2,1.3893,1,4.6337,1,0.019,1
8.0,2,27.1363,2,34.5866,2,200.5503,2,1.388,1,4.6337,1,0.0185,1
10.0,2,27.1461,2,34.5919,2,200.9655,2,1.3857,1,4.634,1,0.0188,1
12.0,2,27.1408,2,34.6111,2,201.2116,2,1.3844,1,4.6345,1,0.0187,1
14.0,2,27.1092,2,34.7136,2,202.0052,2,1.3831,1,4.6371,1,0.0193,1
16.0,2,27.0973,2,34.7287,2,202.7624,2,1.3827,1,4.6377,1,0.0194,1
18.0,2,27.0777,2,34.7501,2,202.7113,2,1.3819,1,4.6377,1,0.0192,1
20.0,2,27.0666,2,34.7642,2,203.1074,2,1.3816,1,4.6377,1,0.0192,1
22.0,2,27.0351,2,34.7855,2,203.5075,2,1.3813,1,4.6369,1,0.0195,1
24.0,2,26.9783,2,34.7965,2,204.2942,2,1.3812,1,4.6367,1,0.0195,1
26.0,2,26.95,2,34.8105,2,205.2082,2,1.3811,1,4.6362,1,0.0195,1
28.0,2,26.9683,2,34.8466,2,205.3081,2,1.3813,1,4.635,1,0.02,1
30.0,2,26.9704,2,34.8584,2,204.1121,2,1.3821,1,4.6361,1,0.0202,1
32.0,2,26.9287,2,34.883,2,204.0552,2,1.3831,1,4.6344,1,0.0208,1
34.0,2,26.8495,2,34.8922,2,205.2496,2,1.384,1,4.6352,1,0.0208,1
36.0,2,26.7732,2,34.885,2,206.054,2,1.3878,1,4.6336,1,0.0218,1
38.0,2,26.6515,2,34.8925,2,206.8731,2,1.3907,1,4.6335,1,0.022,1
