CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 14
CASTNO = 5
DATE = 20181013
TIME = 1218
LATITUDE = 32.0002
LONGITUDE = -151.9998
INSTRUMENT_ID = 1281
DEPTH = 5350
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,23.2375,2,35.0438,2,214.8515,2,1.3785,1,4.6371,1,0.0183,1
2.0,2,23.2382,2,35.0443,2,215.073,2,1.3767,1,4.6367,1,0.0183,1
4.0,2,23.2375,2,35.0449,2,214.7657,2,1.3749,1,4.6367,1,0.019,1
6.0,2,23.2379,2,35.0446,2,215.0054,2,1.3735,1,4.637,1,0.0192,1
8.0,2,23.2412,2,35.0503,2,214.9297,2,1.3728,1,4.6366,1,0.0185,1
10.0,2,23.242,2,35.0516,2,215.2934,2,1.3708,1,4.6364,1,0.0188,1
12.0,2,23.2421,2,35.0528,2,215.6086,2,1.3693,1,4.6367,1,0.0193,1
14.0,2,23.2499,2,35.0744,2,215.688,2,1.3676,1,4.6335,1,0.0194,1
16.0,2,23.2515,2,35.0747,2,215.6675,2,1.3661,1,4.6348,1,0.0188,1
18.0,2,23.2553,2,35.0857,2,215.7853,2,1.3645,1,4.6362,1,0.0186,1
20.0,2,23.2579,2,35.0919,2,215.7656,2,1.3636,1,4.6371,1,0.0188,1
22.0,2,23.2566,2,35.0879,2,215.9924,2,1.3623,1,4.6364,1,0.0189,1
24.0,2,23.267,2,35.1167,2,215.7924,2,1.3614,1,4.6365,1,0.0185,1
26.0,2,23.2705,2,35.1318,2,216.1983,2,1.3604,1,4.6365,1,0.0188,1
28.0,2,23.2734,2,35.1345,2,215.466,2,1.3597,1,4.6364,1,0.0188,1
30.0,2,23.2748,2,35.1354,2,215.7117,2,1.3591,1,4.6363,1,0.0188,1
32.0,2,23.2698,2,35.1362,2,215.2122,2,1.3583,1,4.6372,1,0.0188,1
34.0,2,23.2672,2,35.1368,2,216.2295,2,1.3574,1,4.6362,1,0.0185,1
36.0,2,23.211,2,35.1277,2,216.4662,2,1.357,1,4.6369,1,0.0185,1
38.0,2,23.1877,2,35.1233,2,216.4578,2,1.3555,1,4.6359,1,0.0186,1
40.0,2,23.2521,2,35.1269,2,216.5101,2,1.3546,1,4.6363,1,0.0186,1
42.0,2,23.2701,2,35.1301,2,216.1766,2,1.354,1,4.6365,1,0.0184,1
44.0,2,23.2501,2,35.124,2,216.022,2,1.3533,1,4.6364,1,0.0187,1
46.0,2,21.903,2,34.9392,2,224.4771,2,1.3522,1,4.6227,1,0.0213,1
