CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 16
CASTNO = 2
DATE = 20181016
TIME = 0925
LATITUDE = 26.9997
LONGITUDE = -152.0000
INSTRUMENT_ID = 1281
DEPTH = 5472
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,24.4081,2,35.4298,2,208.1956,2,4.6546,1,0.0024,1,-999,9
2.0,2,24.4109,2,35.43,2,207.9429,2,4.6549,1,0.0024,1,-999,9
4.0,2,24.4115,2,35.4301,2,207.2077,2,4.6555,1,0.0022,1,-999,9
6.0,2,24.4122,2,35.4303,2,207.1878,2,4.6558,1,0.0023,1,-999,9
8.0,2,24.4128,2,35.4302,2,207.2652,2,4.6558,1,0.0023,1,-999,9
10.0,2,24.4131,2,35.4303,2,207.1795,2,4.6561,1,0.0022,1,-999,9
12.0,2,24.4128,2,35.4304,2,207.725,2,4.6559,1,0.0023,1,-999,9
14.0,2,24.4134,2,35.4304,2,207.7683,2,4.6548,1,0.0022,1,-999,9
16.0,2,24.4138,2,35.4304,2,207.6833,2,4.6546,1,0.0023,1,-999,9
18.0,2,24.4141,2,35.4305,2,207.509,2,4.6552,1,0.0022,1,-999,9
20.0,2,24.4145,2,35.4306,2,207.727,2,4.6555,1,0.0024,1,-999,9
22.0,2,24.4148,2,35.4308,2,207.5778,2,4.6546,1,0.0022,1,-999,9
24.0,2,24.4152,2,35.4306,2,207.796,2,4.6554,1,0.0022,1,-999,9
26.0,2,24.4155,2,35.4306,2,208.0794,2,4.6553,1,0.0023,1,-999,9
28.0,2,24.4161,2,35.4307,2,207.939,2,4.6547,1,0.0023,1,-999,9
30.0,2,24.4162,2,35.4306,2,207.8281,2,4.6554,1,0.0024,1,-999,9
32.0,2,24.416,2,35.4306,2,207.6814,2,4.6545,1,0.0023,1,-999,9
34.0,2,24.4171,2,35.4307,2,208.1326,2,4.6553,1,0.0024,1,-999,9
36.0,2,24.4174,2,35.4307,2,207.7715,2,4.6553,1,0.0023,1,-999,9
38.0,2,24.4178,2,35.4307,2,207.7165,2,4.6545,1,0.0021,1,-999,9
40.0,2,24.4183,2,35.4306,2,207.694,2,4.6548,1,0.0023,1,-999,9
42.0,2,24.4185,2,35.4306,2,207.6359,2,4.6552,1,0.0023,1,-999,9
44.0,2,24.4174,2,35.4307,2,208.065,2,4.6554,1,0.0021,1,-999,9
46.0,2,24.4172,2,35.4305,2,207.9277,2,4.6554,1,0.0023,1,-999,9
48.0,2,24.4172,2,35.4305,2,207.8371,2,4.6548,1,0.0022,1,-999,9
50.0,2,24.4173,2,35.4304,2,207.9714,2,4.6548,1,0.0022,1,-999,9
52.0,2,24.416,2,35.4303,2,207.5736,2,4.655,1,0.0024,1,-999,9
54.0,2,24.4152,2,35.4301,2,207.8916,2,4.6552,1,0.0024,1,-999,9
56.0,2,24.4154,2,35.43,2,207.6838,2,4.6544,1,0.0023,1,-999,9
58.0,2,24.4125,2,35.4296,2,207.5463,2,4.6545,1,0.0022,1,-999,9
60.0,2,24.3459,2,35.4198,2,208.0926,2,4.6544,1,0.0022,1,-999,9
62.0,2,23.6002,2,35.3376,2,211.901,2,4.6473,1,0.0028,1,-999,9
64.0,2,22.6083,2,35.2455,2,219.2868,2,4.6408,1,0.0032,1,-999,9
66.0,2,22.215,2,35.212,2,224.9814,2,4.6411,1,0.0035,1,-999,9
68.0,2,21.9607,2,35.1917,2,228.7289,2,4.6441,1,0.0035,1,-999,9
70.0,2,21.4913,2,35.1712,2,230.7641,2,4.6438,1,0.0037,1,-999,9
72.0,2,21.271,2,35.1568,2,232.1449,2,4.6444,1,0.0039,1,-999,9
74.0,2,21.215,2,35.1512,2,232.4473,2,4.6445,1,0.0037,1,-999,9
76.0,2,21.128,2,35.1448,2,232.8244,2,4.6448,1,0.0041,1,-999,9
78.0,2,20.963,2,35.1377,2,232.968,2,4.6463,1,0.004,1,-999,9
80.0,2,20.8017,2,35.1308,2,232.69,2,4.6474,1,0.0042,1,-999,9
82.0,2,20.7314,2,35.1272,2,232.8628,2,4.6481,1,0.0042,1,-999,9
84.0,2,20.6073,2,35.121,2,232.441,2,4.65,1,0.0047,1,-999,9
86.0,2,20.3605,2,35.11,2,231.935,2,4.6505,1,0.0047,1,-999,9
88.0,2,20.2211,2,35.103,2,230.5928,2,4.653,1,0.0049,1,-999,9
90.0,2,20.0484,2,35.0941,2,229.0535,2,4.6556,1,0.0054,1,-999,9
92.0,2,19.9359,2,35.0842,2,228.8532,2,4.658,1,0.0049,1,-999,9
94.0,2,19.8108,2,35.0752,2,228.7337,2,4.6577,1,0.005,1,-999,9
96.0,2,19.6728,2,35.0634,2,227.8107,2,4.657,1,0.0057,1,-999,9
98.0,2,19.6023,2,35.0568,2,226.6663,2,4.6574,1,0.0061,1,-999,9
100.0,2,19.5242,2,35.0488,2,226.3947,2,4.6567,1,0.0065,1,-999,9
102.0,2,19.4214,2,35.0395,2,226.0729,2,4.6551,1,0.0078,1,-999,9
104.0,2,19.292,2,35.0279,2,224.5353,2,4.6525,1,0.0096,1,-999,9
106.0,2,19.2493,2,35.0232,2,223.2335,2,4.6535,1,0.0089,1,-999,9
108.0,2,19.1363,2,35.0111,2,223.0906,2,4.6543,1,0.0091,1,-999,9
110.0,2,19.0291,2,35.0013,2,221.9878,2,4.6556,1,0.0092,1,-999,9
112.0,2,18.9483,2,34.9933,2,220.5474,2,4.6571,1,0.0088,1,-999,9
114.0,2,18.8787,2,34.9877,2,219.3681,2,4.6591,1,0.0086,1,-999,9
116.0,2,18.8019,2,34.9792,2,218.5062,2,4.6607,1,0.0081,1,-999,9
118.0,2,18.7032,2,34.9676,2,217.9213,2,4.6619,1,0.0076,1,-999,9
120.0,2,18.6016,2,34.957,2,216.8494,2,4.6635,1,0.007,1,-999,9
122.0,2,18.5208,2,34.9474,2,215.7233,2,4.6639,1,0.0069,1,-999,9
124.0,2,18.4475,2,34.9385,2,215.0034,2,4.666,1,0.0065,1,-999,9
126.0,2,18.3825,2,34.9294,2,214.609,2,4.668,1,0.0062,1,-999,9
128.0,2,18.3053,2,34.9203,2,214.2961,2,4.6701,1,0.0056,1,-999,9
130.0,2,18.2161,2,34.9095,2,213.8167,2,4.6725,1,0.0052,1,-999,9
132.0,2,18.1097,2,34.8964,2,213.0201,2,4.6749,1,0.0051,1,-999,9
134.0,2,18.0152,2,34.8845,2,212.929,2,4.6766,1,0.0045,1,-999,9
136.0,2,17.922,2,34.8702,2,212.8934,2,4.6774,1,0.0037,1,-999,9
138.0,2,17.7999,2,34.856,2,212.0653,2,4.6793,1,0.0038,1,-999,9
140.0,2,17.6939,2,34.8408,2,211.5381,2,4.6813,1,0.0037,1,-999,9
142.0,2,17.6064,2,34.8281,2,211.4492,2,4.6831,1,0.003,1,-999,9
144.0,2,17.4753,2,34.809,2,211.2973,2,4.6832,1,0.0026,1,-999,9
146.0,2,17.3789,2,34.7986,2,210.7575,2,4.6844,1,0.0028,1,-999,9
148.0,2,17.2904,2,34.7865,2,210.7872,2,4.6861,1,0.0029,1,-999,9
150.0,2,17.1643,2,34.7686,2,210.9473,2,4.6872,1,0.0024,1,-999,9
152.0,2,17.0902,2,34.7584,2,210.6707,2,4.6876,1,0.0023,1,-999,9
154.0,2,16.9926,2,34.744,2,210.5445,2,4.6882,1,0.0024,1,-999,9
156.0,2,16.8876,2,34.7286,2,210.6429,2,4.6877,1,0.0024,1,-999,9
158.0,2,16.8064,2,34.7157,2,210.406,2,4.6878,1,0.0022,1,-999,9
160.0,2,16.7095,2,34.7045,2,210.0834,2,4.688,1,0.0023,1,-999,9
162.0,2,16.6667,2,34.6982,2,210.1755,2,4.6886,1,0.0021,1,-999,9
164.0,2,16.5571,2,34.6856,2,210.4717,2,4.6886,1,0.0022,1,-999,9
166.0,2,16.5012,2,34.678,2,210.5871,2,4.6895,1,0.002,1,-999,9
168.0,2,16.4856,2,34.675,2,210.9004,2,4.6899,1,0.0017,1,-999,9
170.0,2,16.4194,2,34.6687,2,210.8573,2,4.6898,1,0.0022,1,-999,9
172.0,2,16.2635,2,34.6557,2,210.9997,2,4.6894,1,0.0023,1,-999,9
174.0,2,16.121,2,34.6401,2,210.9542,2,4.6891,1,0.0024,1,-999,9
176.0,2,15.9779,2,34.6192,2,211.6447,2,4.6888,1,0.0024,1,-999,9
178.0,2,15.7925,2,34.5935,2,212.5516,2,4.6892,1,0.0024,1,-999,9
180.0,2,15.5997,2,34.5676,2,212.8616,2,4.6898,1,0.0024,1,-999,9
182.0,2,15.5348,2,34.5567,2,212.9401,2,4.6905,1,0.0023,1,-999,9
184.0,2,15.4097,2,34.5361,2,213.0884,2,4.6903,1,0.0024,1,-999,9
186.0,2,15.2443,2,34.5157,2,213.0577,2,4.6911,1,0.002,1,-999,9
188.0,2,15.157,2,34.5014,2,212.7215,2,4.6908,1,0.0021,1,-999,9
190.0,2,14.9694,2,34.4731,2,212.6207,2,4.6915,1,0.0016,1,-999,9
192.0,2,14.8598,2,34.4567,2,212.3255,2,4.6917,1,0.0014,1,-999,9
194.0,2,14.781,2,34.4452,2,211.3254,2,4.6923,1,0.0015,1,-999,9
196.0,2,14.6708,2,34.4308,2,211.0592,2,4.6921,1,0.0012,1,-999,9
198.0,2,14.6024,2,34.4193,2,210.9264,2,4.6922,1,0.0012,1,-999,9
200.0,2,14.4965,2,34.4069,2,210.3132,2,4.692,1,0.0013,1,-999,9
202.0,2,14.3815,2,34.3965,2,210.0862,2,4.6921,1,0.0013,1,-999,9
204.0,2,14.1777,2,34.3716,2,210.4299,2,4.6923,1,0.0012,1,-999,9
206.0,2,14.0499,2,34.3608,2,210.1927,2,4.6924,1,0.0012,1,-999,9
208.0,2,13.9625,2,34.3556,2,209.9277,2,4.6924,1,0.0012,1,-999,9
210.0,2,13.9072,2,34.3574,2,209.8,2,4.6929,1,0.0012,1,-999,9
212.0,2,13.8921,2,34.3567,2,209.627,2,4.6933,1,0.0012,1,-999,9
214.0,2,13.8608,2,34.3544,2,209.7089,2,4.6933,1,0.0012,1,-999,9
216.0,2,13.7653,2,34.3494,2,209.6916,2,4.6934,1,0.0011,1,-999,9
218.0,2,13.7111,2,34.3438,2,209.3564,2,4.6934,1,0.0011,1,-999,9
220.0,2,13.6446,2,34.3376,2,209.3139,2,4.6934,1,0.001,1,-999,9
222.0,2,13.5889,2,34.3311,2,209.4306,2,4.6935,1,0.001,1,-999,9
224.0,2,13.4942,2,34.3221,2,209.5182,2,4.6945,1,0.001,1,-999,9
226.0,2,13.2906,2,34.3074,2,209.5495,2,4.6948,1,0.0011,1,-999,9
228.0,2,13.218,2,34.3002,2,209.5972,2,4.6949,1,0.0009,1,-999,9
230.0,2,13.0829,2,34.2935,2,209.7637,2,4.6947,1,0.0009,1,-999,9
232.0,2,13.0116,2,34.2881,2,209.8364,2,4.695,1,0.0008,1,-999,9
234.0,2,12.9194,2,34.2803,2,210.2669,2,4.6958,1,0.0009,1,-999,9
236.0,2,12.8689,2,34.2773,2,210.3299,2,4.696,1,0.0009,1,-999,9
238.0,2,12.8112,2,34.2732,2,210.4723,2,4.6964,1,0.0008,1,-999,9
240.0,2,12.7846,2,34.2707,2,210.3657,2,4.6969,1,0.0008,1,-999,9
242.0,2,12.7433,2,34.2664,2,210.6591,2,4.697,1,0.0009,1,-999,9
244.0,2,12.6284,2,34.2584,2,210.9199,2,4.697,1,0.0007,1,-999,9
246.0,2,12.5537,2,34.2537,2,210.982,2,4.6973,1,0.0007,1,-999,9
248.0,2,12.4947,2,34.2558,2,211.3345,2,4.6982,1,0.0007,1,-999,9
250.0,2,12.424,2,34.254,2,211.6726,2,4.6985,1,0.0007,1,-999,9
252.0,2,12.4045,2,34.2514,2,211.7774,2,4.6983,1,0.0008,1,-999,9
254.0,2,12.3738,2,34.2472,2,212.0395,2,4.6984,1,0.0009,1,-999,9
256.0,2,12.26,2,34.2395,2,212.2049,2,4.6984,1,0.0009,1,-999,9
258.0,2,12.2096,2,34.2374,2,212.0383,2,4.6985,1,0.0009,1,-999,9
260.0,2,12.1771,2,34.234,2,212.1378,2,4.6992,1,0.0006,1,-999,9
262.0,2,12.145,2,34.2304,2,212.4263,2,4.6996,1,0.0008,1,-999,9
264.0,2,12.0654,2,34.2246,2,212.6209,2,4.6996,1,0.0007,1,-999,9
266.0,2,12.0043,2,34.2201,2,212.711,2,4.6996,1,0.0006,1,-999,9
268.0,2,11.9237,2,34.2135,2,212.8852,2,4.6996,1,0.0009,1,-999,9
270.0,2,11.8693,2,34.2127,2,212.93,2,4.6998,1,0.0009,1,-999,9
272.0,2,11.8494,2,34.2122,2,213.0237,2,4.7005,1,0.0006,1,-999,9
274.0,2,11.822,2,34.2108,2,213.1831,2,4.7007,1,0.0005,1,-999,9
276.0,2,11.7749,2,34.2081,2,213.5934,2,4.7003,1,0.0006,1,-999,9
278.0,2,11.706,2,34.2062,2,213.8577,2,4.7001,1,0.0008,1,-999,9
280.0,2,11.6839,2,34.2069,2,214.156,2,4.7008,1,0.0008,1,-999,9
282.0,2,11.6151,2,34.205,2,214.7951,2,4.7009,1,0.0007,1,-999,9
284.0,2,11.563,2,34.2026,2,215.338,2,4.701,1,0.0006,1,-999,9
286.0,2,11.5126,2,34.1977,2,215.8715,2,4.7009,1,0.0007,1,-999,9
288.0,2,11.4742,2,34.1954,2,215.9639,2,4.701,1,0.0008,1,-999,9
290.0,2,11.4494,2,34.1927,2,216.1277,2,4.7007,1,0.0007,1,-999,9
292.0,2,11.4292,2,34.1908,2,216.4532,2,4.7017,1,0.0007,1,-999,9
294.0,2,11.3853,2,34.1875,2,216.7368,2,4.7018,1,0.0006,1,-999,9
296.0,2,11.3658,2,34.1856,2,216.6858,2,4.7013,1,0.0009,1,-999,9
298.0,2,11.3192,2,34.1814,2,216.9604,2,4.7009,1,0.0007,1,-999,9
300.0,2,11.2807,2,34.1786,2,216.8425,2,4.7017,1,0.0007,1,-999,9
302.0,2,11.2622,2,34.1768,2,216.7699,2,4.702,1,0.0008,1,-999,9
304.0,2,11.214,2,34.1733,2,216.8399,2,4.7021,1,0.0007,1,-999,9
306.0,2,11.1757,2,34.1708,2,216.9481,2,4.7016,1,0.0008,1,-999,9
308.0,2,11.1184,2,34.1661,2,216.989,2,4.7019,1,0.0008,1,-999,9
310.0,2,11.0596,2,34.1625,2,216.8854,2,4.7018,1,0.0006,1,-999,9
312.0,2,11.0438,2,34.161,2,216.727,2,4.7023,1,0.0008,1,-999,9
314.0,2,11.0153,2,34.1584,2,216.7392,2,4.7025,1,0.0008,1,-999,9
316.0,2,10.9879,2,34.1564,2,216.4553,2,4.702,1,0.0008,1,-999,9
318.0,2,10.9733,2,34.155,2,216.2186,2,4.7016,1,0.0007,1,-999,9
320.0,2,10.9394,2,34.1521,2,216.3032,2,4.702,1,0.0008,1,-999,9
322.0,2,10.8896,2,34.1492,2,215.7925,2,4.7023,1,0.0007,1,-999,9
324.0,2,10.8139,2,34.1427,2,215.4453,2,4.7026,1,0.0008,1,-999,9
326.0,2,10.7535,2,34.1395,2,214.4101,2,4.7024,1,0.0007,1,-999,9
328.0,2,10.6813,2,34.1355,2,213.3577,2,4.7017,1,0.0008,1,-999,9
330.0,2,10.6364,2,34.1329,2,212.3029,2,4.7021,1,0.0007,1,-999,9
332.0,2,10.6047,2,34.1293,2,211.2855,2,4.7024,1,0.0006,1,-999,9
334.0,2,10.559,2,34.1258,2,210.4835,2,4.7032,1,0.0008,1,-999,9
336.0,2,10.5198,2,34.1226,2,209.8193,2,4.7031,1,0.0007,1,-999,9
338.0,2,10.4971,2,34.1205,2,209.0086,2,4.7026,1,0.0007,1,-999,9
340.0,2,10.4065,2,34.1163,2,208.4682,2,4.7025,1,0.0008,1,-999,9
342.0,2,10.3472,2,34.1149,2,206.918,2,4.7027,1,0.0008,1,-999,9
344.0,2,10.3274,2,34.1129,2,205.1691,2,4.7033,1,0.0008,1,-999,9
346.0,2,10.3067,2,34.1115,2,204.5833,2,4.7033,1,0.0009,1,-999,9
348.0,2,10.2885,2,34.1101,2,204.1738,2,4.7031,1,0.0009,1,-999,9
350.0,2,10.2643,2,34.1088,2,203.8172,2,4.7025,1,0.0008,1,-999,9
352.0,2,10.2309,2,34.1071,2,203.1979,2,4.7032,1,0.0008,1,-999,9
