CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 14
CASTNO = 6
DATE = 20181013
TIME = 1441
LATITUDE = 32.0003
LONGITUDE = -151.9998
INSTRUMENT_ID = 1281
DEPTH = 5350
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,6,23.2389,6,35.0634,6,213.3649,6,4.6465,6,0.0024,6,-999,9
2.0,2,23.2391,2,35.0632,2,213.456,2,4.6451,1,0.0024,1,-999,9
4.0,2,23.2419,2,35.0664,2,213.8898,2,4.6465,1,0.0018,1,-999,9
6.0,2,23.2445,2,35.0742,2,213.7112,2,4.6465,1,0.0017,1,-999,9
8.0,2,23.2467,2,35.0791,2,213.7034,2,4.6473,1,0.0021,1,-999,9
10.0,2,23.2477,2,35.0818,2,213.7184,2,4.6455,1,0.0021,1,-999,9
12.0,2,23.25,2,35.0855,2,213.6165,2,4.6461,1,0.0022,1,-999,9
14.0,2,23.2558,2,35.107,2,213.6093,2,4.6442,1,0.0023,1,-999,9
16.0,2,23.2606,2,35.1313,2,213.5533,2,4.6468,1,0.0023,1,-999,9
18.0,2,23.261,2,35.1295,2,213.5385,2,4.6467,1,0.0024,1,-999,9
20.0,2,23.2636,2,35.1336,2,213.6973,2,4.6465,1,0.0024,1,-999,9
22.0,2,23.264,2,35.1338,2,213.396,2,4.6465,1,0.0024,1,-999,9
24.0,2,23.2623,2,35.1331,2,213.6774,2,4.6469,1,0.0024,1,-999,9
26.0,2,23.2615,2,35.1331,2,213.5264,2,4.6472,1,0.0024,1,-999,9
28.0,2,23.2617,2,35.1333,2,213.6302,2,4.647,1,0.0024,1,-999,9
30.0,2,23.2607,2,35.1335,2,213.6297,2,4.6468,1,0.0024,1,-999,9
32.0,2,23.2601,2,35.1335,2,213.6221,2,4.647,1,0.0024,1,-999,9
34.0,2,23.2598,2,35.1334,2,213.607,2,4.6468,1,0.0024,1,-999,9
36.0,2,23.2615,2,35.1338,2,213.6748,2,4.6463,1,0.0024,1,-999,9
38.0,2,23.2598,2,35.1332,2,213.3163,2,4.6471,1,0.0024,1,-999,9
40.0,2,23.261,2,35.1337,2,213.8381,2,4.6468,1,0.0025,1,-999,9
42.0,2,23.2587,2,35.1332,2,213.5102,2,4.6471,1,0.0024,1,-999,9
44.0,2,23.2512,2,35.1316,2,213.7278,2,4.647,1,0.0024,1,-999,9
46.0,2,22.3624,2,35.0072,2,219.6025,2,4.6424,1,0.0026,1,-999,9
48.0,2,19.606,2,34.656,2,241.2438,2,4.6302,1,0.0036,1,-999,9
50.0,2,18.884,2,34.5193,2,255.0411,2,4.6321,1,0.004,1,-999,9
52.0,2,18.6057,2,34.4771,2,258.8634,2,4.635,1,0.0038,1,-999,9
54.0,2,18.4204,2,34.4583,2,260.4463,2,4.638,1,0.0038,1,-999,9
56.0,2,18.3064,2,34.4753,2,259.7717,2,4.642,1,0.0037,1,-999,9
58.0,2,18.2629,2,34.4925,2,259.2376,2,4.6452,1,0.0037,1,-999,9
60.0,2,18.1681,2,34.4838,2,258.7254,2,4.6471,1,0.0037,1,-999,9
