CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 16
CASTNO = 6
DATE = 20181016
TIME = 2018
LATITUDE = 26.9996
LONGITUDE = -152.0000
INSTRUMENT_ID = 1281
DEPTH = 5472
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,6,24.5072,6,35.4334,6,208.5041,6,4.648,6,0.0015,6,-999,9
2.0,6,24.5072,6,35.4334,6,208.5041,6,4.648,6,0.0015,6,-999,9
4.0,6,24.5072,6,35.4334,6,208.5041,6,4.648,6,0.0015,6,-999,9
6.0,2,24.5051,2,35.4344,2,208.49,2,4.6479,1,0.0013,1,-999,9
8.0,2,24.4924,2,35.4351,2,208.7112,2,4.6465,1,0.0014,1,-999,9
10.0,2,24.4757,2,35.4352,2,208.797,2,4.6471,1,0.0013,1,-999,9
12.0,2,24.4619,2,35.4352,2,208.4701,2,4.6468,1,0.0014,1,-999,9
14.0,2,24.4555,2,35.4352,2,208.6504,2,4.646,1,0.0014,1,-999,9
16.0,2,24.4508,2,35.4352,2,209.0247,2,4.646,1,0.0014,1,-999,9
18.0,2,24.447,2,35.4351,2,208.8166,2,4.6457,1,0.0016,1,-999,9
20.0,2,24.4453,2,35.435,2,208.8018,2,4.6457,1,0.0017,1,-999,9
22.0,2,24.4435,2,35.435,2,208.9695,2,4.6452,1,0.0018,1,-999,9
24.0,2,24.4426,2,35.4349,2,208.7137,2,4.6458,1,0.0019,1,-999,9
26.0,2,24.4403,2,35.4347,2,208.8813,2,4.645,1,0.0019,1,-999,9
28.0,2,24.4379,2,35.4347,2,208.9777,2,4.6446,1,0.0019,1,-999,9
30.0,2,24.4366,2,35.4346,2,208.5957,2,4.645,1,0.0017,1,-999,9
32.0,2,24.4343,2,35.4345,2,208.9008,2,4.6443,1,0.0022,1,-999,9
34.0,2,24.4336,2,35.4346,2,208.8912,2,4.645,1,0.0021,1,-999,9
36.0,2,24.4329,2,35.4344,2,208.5985,2,4.6451,1,0.0022,1,-999,9
38.0,2,24.4325,2,35.4344,2,208.9915,2,4.6457,1,0.0023,1,-999,9
40.0,2,24.4303,2,35.4342,2,208.8984,2,4.6447,1,0.0022,1,-999,9
42.0,2,24.4285,2,35.434,2,208.8113,2,4.6455,1,0.0023,1,-999,9
44.0,2,24.4276,2,35.434,2,209.0975,2,4.6455,1,0.0024,1,-999,9
46.0,2,24.4273,2,35.4339,2,208.9094,2,4.6459,1,0.0024,1,-999,9
48.0,2,24.4268,2,35.4338,2,208.8972,2,4.646,1,0.0024,1,-999,9
50.0,2,24.425,2,35.4337,2,209.2254,2,4.646,1,0.0023,1,-999,9
52.0,2,24.4213,2,35.4331,2,209.011,2,4.6447,1,0.0024,1,-999,9
54.0,2,24.4152,2,35.4319,2,208.8295,2,4.6463,1,0.0024,1,-999,9
56.0,2,24.4008,2,35.4293,2,208.9108,2,4.647,1,0.0024,1,-999,9
58.0,2,24.238,2,35.4071,2,209.8723,2,4.6451,1,0.0024,1,-999,9
60.0,2,23.4461,2,35.3153,2,213.8453,2,4.6376,1,0.0028,1,-999,9
62.0,2,22.566,2,35.2371,2,221.8159,2,4.6315,1,0.0037,1,-999,9
64.0,2,21.9752,2,35.1902,2,229.0978,2,4.6304,1,0.0037,1,-999,9
