EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,GEOTRC_EVENTNO,GEOTRC_SAMPNO,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,Sigma0,REFTMP,REFTMP_FLAG_W,BTL_DATE,BTL_TIME,BTL_ISO_DateTime_UTC,BTL_LAT,BTL_LON,SILICATE_D_CONC_BOTTLE_3fot83,Flag_SILICATE_D_CONC_BOTTLE_3fot83,PHOSPHATE_D_CONC_BOTTLE_d0rgav,Flag_PHOSPHATE_D_CONC_BOTTLE_d0rgav,NITRATE_D_CONC_BOTTLE_bugat8,Flag_NITRATE_D_CONC_BOTTLE_bugat8,NITRITE_D_CONC_BOTTLE_sxduhh,Flag_NITRITE_D_CONC_BOTTLE_sxduhh,OXYGEN_D_CONC_BOTTLE_n41f8b,Flag_OXYGEN_D_CONC_BOTTLE_n41f8b,SALINITY_D_CONC_BOTTLE_zva7jm,Flag_SALINITY_D_CONC_BOTTLE_zva7jm,SILICATE_D_CONC_FISH_7yvjjv,Flag_SILICATE_D_CONC_FISH_7yvjjv,PHOSPHATE_D_CONC_FISH_vdvft4,Flag_PHOSPHATE_D_CONC_FISH_vdvft4,NITRATE_D_CONC_FISH_0w2yqg,Flag_NITRATE_D_CONC_FISH_0w2yqg,NITRITE_D_CONC_FISH_txbmxd,Flag_NITRITE_D_CONC_FISH_txbmxd,SALINITY_D_CONC_FISH_yp29up,Flag_SALINITY_D_CONC_FISH_yp29up,SILICATE_D_CONC_PUMP_nttq7z,Flag_SILICATE_D_CONC_PUMP_nttq7z,PHOSPHATE_D_CONC_PUMP_l3cyv3,Flag_PHOSPHATE_D_CONC_PUMP_l3cyv3,NITRATE_D_CONC_PUMP_cm2gtk,Flag_NITRATE_D_CONC_PUMP_cm2gtk,NITRITE_D_CONC_PUMP_ggojec,Flag_NITRITE_D_CONC_PUMP_ggojec,OXYGEN_D_CONC_PUMP_vehiol,Flag_OXYGEN_D_CONC_PUMP_vehiol,SALINITY_D_CONC_PUMP_8noyqg,Flag_SALINITY_D_CONC_PUMP_8noyqg,SILICATE_D_CONC_UWAY_ajega0,Flag_SILICATE_D_CONC_UWAY_ajega0,PHOSPHATE_D_CONC_UWAY_f1jl3i,Flag_PHOSPHATE_D_CONC_UWAY_f1jl3i,NITRATE_D_CONC_UWAY_mvcqwu,Flag_NITRATE_D_CONC_UWAY_mvcqwu,NITRITE_D_CONC_UWAY_7caiyo,Flag_NITRITE_D_CONC_UWAY_7caiyo,OXYGEN_D_CONC_UWAY_ulgjid,Flag_OXYGEN_D_CONC_UWAY_ulgjid,SALINITY_D_CONC_UWAY_fwcxbm,Flag_SALINITY_D_CONC_UWAY_fwcxbm,CTDRINKO,CTDRINKO_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDOXY,CTDOXY_FLAG_W
33RR20180918,GP15,18.6,2,8,GF-16,2,6774,13922,20181025,1442,18.9064,-155.258,1333,1209,3.775,34.534,2,27.46,nd,9,20181025,1449,2018-10-25T14:49Z,18.9065,-155.258,114.56,2,3.03,2,42.04,2,0,2,nd,9,34.5315,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.704,1,50.3,2
33RR20180918,GP15,18.6,2,9,GF-11,2,6774,13923,20181025,1442,18.9064,-155.258,1333,1107.5,3.8712,34.529,2,27.445,nd,9,20181025,1453,2018-10-25T14:53Z,18.9065,-155.258,112.51,2,3.04,2,42.18,2,0,2,nd,9,34.5234,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.705,1,49.1,2
33RR20180918,GP15,18.6,2,10,GF-17,2,6774,13924,20181025,1442,18.9064,-155.258,1333,1107.5,3.8712,34.529,2,27.445,nd,9,20181025,1453,2018-10-25T14:53Z,18.9065,-155.2581,112.61,2,3.03,2,42.32,2,0,2,nd,9,34.5238,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.705,1,49.1,2
33RR20180918,GP15,18.6,2,11,nd,9,nd,nd,20181025,1442,18.9064,-155.258,1333,1106.5,3.8723,34.5283,3,27.444,nd,9,20181025,1453,2018-10-25T14:53Z,18.9065,-155.2581,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.704,1,48.8,3
33RR20180918,GP15,18.6,2,12,nd,9,nd,nd,20181025,1442,18.9064,-155.258,1333,1106.1,3.8741,34.5283,3,27.444,nd,9,20181025,1453,2018-10-25T14:53Z,18.9065,-155.2581,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.704,1,49.2,3
33RR20180918,GP15,18.6,2,13,GF-13,2,6774,13925,20181025,1442,18.9064,-155.258,1333,1006.4,4.3064,34.5002,2,27.375,nd,9,20181025,1457,2018-10-25T14:57Z,18.9065,-155.258,102.93,2,3.03,2,42.01,2,0,2,nd,9,34.4984,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.702,1,45.3,2
33RR20180918,GP15,18.6,2,14,GF-2,2,6774,13926,20181025,1442,18.9064,-155.258,1333,1006.4,4.3064,34.5002,2,27.375,nd,9,20181025,1457,2018-10-25T14:57Z,18.9065,-155.2581,103.32,2,3.02,2,41.94,2,0,2,nd,9,34.4982,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.702,1,45.3,2
33RR20180918,GP15,18.6,2,15,GF-21,2,6774,13927,20181025,1442,18.9064,-155.258,1333,852.7,4.7973,34.4825,2,27.306,nd,9,20181025,1501,2018-10-25T15:01Z,18.9065,-155.258,92.96,2,3.04,2,41.83,2,0,2,nd,9,34.48,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.705,1,36.9,2
33RR20180918,GP15,18.6,2,16,GF-22,2,6774,13928,20181025,1442,18.9064,-155.258,1333,852.7,4.7973,34.4825,2,27.306,nd,9,20181025,1501,2018-10-25T15:01Z,18.9065,-155.258,92.77,2,3.03,2,41.71,2,0,2,nd,9,34.48,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.705,1,36.9,2
33RR20180918,GP15,18.6,2,17,nd,9,nd,nd,20181025,1442,18.9064,-155.258,1333,632,5.6454,34.4053,3,27.142,nd,9,20181025,1507,2018-10-25T15:07Z,18.9065,-155.258,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.703,1,32.2,3
